Tput(Mbps)	Config
862.427	O_Sp_100Mhz
769.1	O_Sp_100Mhz
638.889	O_Sp_100Mhz
851.598	O_Sp_100Mhz
776.743	O_Sp_100Mhz
891.53	O_Sp_100Mhz
812.242	O_Sp_100Mhz
823.282	O_Sp_100Mhz
829.123	O_Sp_100Mhz
847.281	O_Sp_100Mhz
754.309	O_Sp_100Mhz
1674.326	O_Sp_100Mhz
823.325	O_Sp_100Mhz
864.553	O_Sp_100Mhz
691.473	O_Sp_100Mhz
671.231	O_Sp_100Mhz
903.293	O_Sp_100Mhz
814.672	O_Sp_100Mhz
865.205	O_Sp_100Mhz
815.824	O_Sp_100Mhz
862.706	O_Sp_100Mhz
822.306	O_Sp_100Mhz
679.173	O_Sp_100Mhz
841.336	O_Sp_100Mhz
761.771	O_Sp_100Mhz
849.363	O_Sp_100Mhz
774.181	O_Sp_100Mhz
728.539	O_Sp_100Mhz
856.342	O_Sp_100Mhz
795.404	O_Sp_100Mhz
863.814	O_Sp_100Mhz
836.987	O_Sp_100Mhz
812.035	O_Sp_100Mhz
816.993	O_Sp_100Mhz
867.664	O_Sp_100Mhz
812.292	O_Sp_100Mhz
911.263	O_Sp_100Mhz
886.584	O_Sp_100Mhz
894.003	O_Sp_100Mhz
753.65	O_Sp_100Mhz
946.327	O_Sp_100Mhz
910.326	O_Sp_100Mhz
837.262	O_Sp_100Mhz
904.024	O_Sp_100Mhz
844.188	O_Sp_100Mhz
956.592	O_Sp_100Mhz
692.85	O_Sp_100Mhz
757.252	O_Sp_100Mhz
888.933	O_Sp_100Mhz
843.408	O_Sp_100Mhz
869.733	O_Sp_100Mhz
883.011	O_Sp_100Mhz
898.147	O_Sp_100Mhz
918.536	O_Sp_100Mhz
939.213	O_Sp_100Mhz
806.805	O_Sp_100Mhz
958.67	O_Sp_100Mhz
836.472	O_Sp_100Mhz
880.987	O_Sp_100Mhz
865.807	O_Sp_100Mhz
908.487	O_Sp_100Mhz
838.279	O_Sp_100Mhz
779.269	O_Sp_100Mhz
882.558	O_Sp_100Mhz
838.216	O_Sp_100Mhz
843.571	O_Sp_100Mhz
1095.941	O_Sp_100Mhz
804.386	O_Sp_100Mhz
938.016	O_Sp_100Mhz
904.434	O_Sp_100Mhz
885.654	O_Sp_100Mhz
824.084	O_Sp_100Mhz
1037.296	O_Sp_100Mhz
927.367	O_Sp_100Mhz
851.412	O_Sp_100Mhz
1051.062	O_Sp_100Mhz
907.213	O_Sp_100Mhz
988.354	O_Sp_100Mhz
1010.534	O_Sp_100Mhz
850.825	O_Sp_100Mhz
845.227	O_Sp_100Mhz
859.72	O_Sp_100Mhz
909.287	O_Sp_100Mhz
821.263	O_Sp_100Mhz
920.601	O_Sp_100Mhz
1035.068	O_Sp_100Mhz
827.704	O_Sp_100Mhz
828.575	O_Sp_100Mhz
888.877	O_Sp_100Mhz
762.772	O_Sp_100Mhz
916.204	O_Sp_100Mhz
929.972	O_Sp_100Mhz
1038.025	O_Sp_100Mhz
928.519	O_Sp_100Mhz
786.52	O_Sp_100Mhz
936.559	O_Sp_100Mhz
1027.184	O_Sp_100Mhz
979.3	O_Sp_100Mhz
1065.515	O_Sp_100Mhz
892.003	O_Sp_100Mhz
891.646	O_Sp_100Mhz
1107.636	O_Sp_100Mhz
887.378	O_Sp_100Mhz
857.01	O_Sp_100Mhz
869.204	O_Sp_100Mhz
780.413	O_Sp_100Mhz
778.025	O_Sp_100Mhz
908.319	O_Sp_100Mhz
934.239	O_Sp_100Mhz
977.281	O_Sp_100Mhz
827.08	O_Sp_100Mhz
874.453	O_Sp_100Mhz
940.934	O_Sp_100Mhz
897.319	O_Sp_100Mhz
992.158	O_Sp_100Mhz
873.564	O_Sp_100Mhz
819.035	O_Sp_100Mhz
810.411	O_Sp_100Mhz
781.968	O_Sp_100Mhz
844.372	O_Sp_100Mhz
995.168	O_Sp_100Mhz
781.231	O_Sp_100Mhz
895.075	O_Sp_100Mhz
851.067	O_Sp_100Mhz
871.468	O_Sp_100Mhz
797.481	O_Sp_100Mhz
931.145	O_Sp_100Mhz
829.618	O_Sp_100Mhz
798.879	O_Sp_100Mhz
690.508	O_Sp_100Mhz
865.969	O_Sp_100Mhz
784.995	O_Sp_100Mhz
820.657	O_Sp_100Mhz
798.972	O_Sp_100Mhz
825.705	O_Sp_100Mhz
814.32	O_Sp_100Mhz
730.68	O_Sp_100Mhz
745.063	O_Sp_100Mhz
689.446	O_Sp_100Mhz
779.129	O_Sp_100Mhz
869.454	O_Sp_100Mhz
736.736	O_Sp_100Mhz
800.806	O_Sp_100Mhz
789.149	O_Sp_100Mhz
683.76	O_Sp_100Mhz
737.461	O_Sp_100Mhz
644.752	O_Sp_100Mhz
710.344	O_Sp_100Mhz
721.47	O_Sp_100Mhz
658.914	O_Sp_100Mhz
720.227	O_Sp_100Mhz
758.308	O_Sp_100Mhz
761.507	O_Sp_100Mhz
742.536	O_Sp_100Mhz
681.057	O_Sp_100Mhz
688.807	O_Sp_100Mhz
638.517	O_Sp_100Mhz
678.411	O_Sp_100Mhz
663.741	O_Sp_100Mhz
638.467	O_Sp_100Mhz
694.269	O_Sp_100Mhz
645.405	O_Sp_100Mhz
795.096	O_Sp_100Mhz
703.656	O_Sp_100Mhz
770.933	O_Sp_100Mhz
765.469	O_Sp_100Mhz
786.401	O_Sp_100Mhz
803.135	O_Sp_100Mhz
871.745	O_Sp_100Mhz
817.8	O_Sp_100Mhz
800.729	O_Sp_100Mhz
725.638	O_Sp_100Mhz
799.853	O_Sp_100Mhz
717.447	O_Sp_100Mhz
696.832	O_Sp_100Mhz
657.599	O_Sp_100Mhz
736.987	O_Sp_100Mhz
632.139	O_Sp_100Mhz
725.68	O_Sp_100Mhz
677.06	O_Sp_100Mhz
631.455	O_Sp_100Mhz
790.022	O_Sp_100Mhz
680.778	O_Sp_100Mhz
679.724	O_Sp_100Mhz
690.986	O_Sp_100Mhz
652.489	O_Sp_100Mhz
650.646	O_Sp_100Mhz
680.929	O_Sp_100Mhz
739.377	O_Sp_100Mhz
675.666	O_Sp_100Mhz
663.761	O_Sp_100Mhz
676.484	O_Sp_100Mhz
712.045	O_Sp_100Mhz
742.005	O_Sp_100Mhz
688.746	O_Sp_100Mhz
638.02	O_Sp_100Mhz
674.873	O_Sp_100Mhz
696.135	O_Sp_100Mhz
734.835	O_Sp_100Mhz
771.171	O_Sp_100Mhz
771.952	O_Sp_100Mhz
777.482	O_Sp_100Mhz
879.76	O_Sp_100Mhz
840.746	O_Sp_100Mhz
849.628	O_Sp_100Mhz
812.793	O_Sp_100Mhz
928.647	O_Sp_100Mhz
870.859	O_Sp_100Mhz
786.301	O_Sp_100Mhz
658.872	O_Sp_100Mhz
868.371	O_Sp_100Mhz
751.75	O_Sp_100Mhz
828.682	O_Sp_100Mhz
703.904	O_Sp_100Mhz
713.502	O_Sp_100Mhz
822.071	O_Sp_100Mhz
821.678	O_Sp_100Mhz
827.519	O_Sp_100Mhz
741.515	O_Sp_100Mhz
772.409	O_Sp_100Mhz
660.24	O_Sp_100Mhz
776.891	O_Sp_100Mhz
714.95	O_Sp_100Mhz
677.617	O_Sp_100Mhz
660.56	O_Sp_100Mhz
760.499	O_Sp_100Mhz
711.316	O_Sp_100Mhz
636.192	O_Sp_100Mhz
886.673	O_Sp_100Mhz
738.478	O_Sp_100Mhz
786.363	O_Sp_100Mhz
637.307	O_Sp_100Mhz
798.131	O_Sp_100Mhz
828.448	O_Sp_100Mhz
782.062	O_Sp_100Mhz
833.217	O_Sp_100Mhz
817.187	O_Sp_100Mhz
688.101	O_Sp_100Mhz
829.106	O_Sp_100Mhz
742.395	O_Sp_100Mhz
679.257	O_Sp_100Mhz
696.907	O_Sp_100Mhz
704.823	O_Sp_100Mhz
708.259	O_Sp_100Mhz
738.424	O_Sp_100Mhz
673.412	O_Sp_100Mhz
646.286	O_Sp_100Mhz
693.992	O_Sp_100Mhz
