Config	Tput(Mbps)
O_Sp_100Mhz	69.68276
O_Sp_100Mhz	57.213792
O_Sp_100Mhz	110.834088
O_Sp_100Mhz	115.644376
O_Sp_100Mhz	104.505808
O_Sp_100Mhz	101.308248
O_Sp_100Mhz	104.440872
O_Sp_100Mhz	100.123792
O_Sp_100Mhz	91.953408
O_Sp_100Mhz	88.861704
O_Sp_100Mhz	124.503016
O_Sp_100Mhz	97.915496
O_Sp_100Mhz	98.81068
O_Sp_100Mhz	138.834112
O_Sp_100Mhz	75.722272
O_Sp_100Mhz	95.558112
O_Sp_100Mhz	94.782816
O_Sp_100Mhz	91.811184
O_Sp_100Mhz	99.383864
O_Sp_100Mhz	92.76836
O_Sp_100Mhz	95.562184
O_Sp_100Mhz	95.634352
O_Sp_100Mhz	93.62824
O_Sp_100Mhz	92.457184
O_Sp_100Mhz	91.70672
O_Sp_100Mhz	92.561384
O_Sp_100Mhz	94.236944
V_Sp	45.955696
V_Sp	41.700912
V_Sp	52.91764
V_Sp	55.602952
V_Sp	50.420272
V_Sp	70.751856
V_Sp	69.522248
V_Sp	80.249272
V_Sp	38.77636
V_Sp	38.25516
V_Sp	39.485152
V_Sp	38.538352
V_Sp	101.023488
V_Sp	86.180568
V_Sp	96.438424
V_Sp	87.960216
V_Sp	91.906488
O_Fr	35.215984
O_Fr	62.371184
O_Fr	61.865256
O_Fr	45.340672
S_Fr	30.778224
S_Fr	42.693936
S_Fr	31.618904
S_Fr	29.400952
S_Fr	35.417384
S_Fr	35.688256
S_Fr	33.194624
S_Fr	29.51736
S_Fr	29.69176
S_Fr	30.25336
S_Fr	31.116384
O_Sp_90Mhz	48.708
O_Sp_90Mhz	55.952
O_Sp_90Mhz	48.958
O_Sp_90Mhz	50.509
O_Sp_90Mhz	53.882
O_Sp_90Mhz	49.687
O_Sp_90Mhz	51.271
O_Sp_90Mhz	48.279
O_Sp_90Mhz	48.431
O_Sp_90Mhz	53.546
O_Sp_90Mhz	52.138
O_Sp_90Mhz	50.326
O_Sp_90Mhz	55.376
O_Sp_90Mhz	52.073
O_Sp_90Mhz	55.92
O_Sp_90Mhz	58.944
O_Sp_90Mhz	58.466
O_Sp_90Mhz	53.037
O_Sp_90Mhz	51.801
O_Sp_90Mhz	48.399
O_Sp_90Mhz	49.55
O_Sp_90Mhz	53.503
O_Sp_90Mhz	48.95
O_Sp_90Mhz	52.351
O_Sp_90Mhz	48.863
O_Sp_90Mhz	52.056
O_Sp_90Mhz	48.246
O_Sp_90Mhz	53.689
O_Sp_90Mhz	53.183
O_Sp_90Mhz	59.114
O_Sp_90Mhz	68.066
O_Sp_90Mhz	68.057
O_Sp_90Mhz	57.104
O_Sp_90Mhz	72.584
O_Sp_90Mhz	51.968
O_Sp_90Mhz	65.848
O_Sp_90Mhz	68.827
O_Sp_90Mhz	63.539
O_Sp_90Mhz	74.446
O_Sp_90Mhz	81.318
O_Sp_90Mhz	73.724
O_Sp_90Mhz	70.945
O_Sp_90Mhz	70.595
O_Sp_90Mhz	76.112
O_Sp_90Mhz	77.548
O_Sp_90Mhz	72.467
O_Sp_90Mhz	74.232
O_Sp_90Mhz	73.783
O_Sp_90Mhz	77.001
O_Sp_90Mhz	71.071
O_Sp_90Mhz	70.821
O_Sp_90Mhz	67.126
O_Sp_90Mhz	63.037
O_Sp_90Mhz	61.025
O_Sp_90Mhz	57.634
O_Sp_90Mhz	50.116
O_Sp_90Mhz	59.42
O_Sp_90Mhz	60.331
O_Sp_90Mhz	60.074
O_Sp_90Mhz	67.356
O_Sp_90Mhz	68.207
O_Sp_90Mhz	61.738
O_Sp_90Mhz	63.663
O_Sp_90Mhz	68.987
O_Sp_90Mhz	72.046
O_Sp_90Mhz	70.374
O_Sp_90Mhz	75.585
O_Sp_90Mhz	74.527
O_Sp_90Mhz	73.806
O_Sp_90Mhz	66.958
O_Sp_90Mhz	67.093
O_Sp_90Mhz	66.161
O_Sp_90Mhz	70.539
O_Sp_90Mhz	72.087
O_Sp_90Mhz	58.795
O_Sp_90Mhz	66.558
O_Sp_90Mhz	57.601
O_Sp_90Mhz	50.577
O_Sp_90Mhz	49.316
O_Sp_90Mhz	56.767
O_Sp_90Mhz	50.144
O_Sp_90Mhz	51.353
O_Sp_90Mhz	64.488
O_Sp_90Mhz	64.556
O_Sp_90Mhz	54.064
O_Sp_90Mhz	54.316
O_Sp_90Mhz	61.081
O_Sp_90Mhz	56.923
O_Sp_90Mhz	51.945
O_Sp_90Mhz	54.204
O_Sp_90Mhz	53.311
O_Sp_90Mhz	52.177
O_Sp_90Mhz	53.327
O_Sp_90Mhz	60.972
O_Sp_90Mhz	63.095
O_Sp_90Mhz	68.277
O_Sp_90Mhz	74.958
