bw	AllocatedRBs
40	89.95
40	92.55
40	91.05
40	89.98
40	82.53
40	91.99
40	97.19
40	89.48
40	96.75
40	96.55
40	96.85
40	79.3
40	87.26
40	93.72
40	97.38
40	92.16
40	95.75
40	96.58
40	88.42
40	99.3
40	89.26
40	98.42
40	98.44
40	90.71
40	93.42
40	61.08
40	95.6
40	84.55
40	96.99
40	98.62
40	100.77
40	94.79
40	90.56
40	95.41
40	93.76
40	95.09
40	97.76
40	98.43
40	98.23
40	96.87
40	100.38
40	100.67
40	97.91
40	100.52
40	101.1
40	101.59
40	97.52
40	100.57
40	101.11
40	99.33
40	101.6
40	44.93
40	51.36
40	46.81
40	55.89
40	32.28
40	58.61
40	59.61
40	24.67
40	0.24
40	0.1
40	0.03
40	0.12
40	0.13
40	7.94
40	0.53
40	38.34
40	0.53
40	0.33
40	3.22
40	18.94
40	16.42
40	19.5
40	26.27
40	26.92
40	26.66
40	29.35
40	27.23
40	28.9
40	29.94
40	33.08
40	33.58
40	32.39
40	35.03
40	38.16
40	44.64
40	48.76
40	53.04
40	57.31
40	61.37
40	59.28
40	54.73
40	55.38
40	57.61
40	61.15
40	62.02
40	62.56
40	62.58
40	62.66
40	62.74
40	62.6
40	62.74
40	62.21
40	57.91
40	61.5
40	61.93
40	60.94
40	62.4
40	62.42
40	62.44
40	62.49
40	62.46
40	62.4
40	53.82
40	62.42
40	62.42
40	62.77
40	39.88
40	61.72
40	61.6
40	41.85
40	58.07
40	36.44
40	6.28
40	0.96
40	88.3
40	85.61
40	5.55
40	42.2
40	83.12
40	95.23
40	91.5
40	96.83
40	87.31
40	78.4
40	99.12
40	92.86
40	97.05
40	78.87
40	94.82
40	87.07
40	83.89
40	90.04
40	80.09
40	86.06
40	88.93
40	87.28
40	77.14
40	58.27
40	101.04
40	93.05
40	94.64
40	95.09
40	97.81
40	87.9
40	100.62
40	100.06
40	99.21
40	97.31
40	99.15
40	98.18
40	95.17
40	86.84
40	95.95
40	100.42
40	41.41
40	30.76
40	30.36
40	33.58
40	45.71
40	26.59
40	8.19
40	0.04
40	25.31
40	23.35
40	21.9
40	20.34
40	22.45
40	21.68
40	20.21
40	21.51
40	19.99
40	22.67
40	23.8
40	28.02
40	28.39
40	31.3
40	35.19
40	41.24
40	40.97
40	35.23
40	40.22
40	45.25
40	58.38
40	3.78
40	0.92
40	0.3
40	10.35
40	11.7
40	17.17
40	12.24
40	18.65
40	21.86
40	8.53
40	4.59
40	15.87
40	0.69
40	34.24
40	30.68
40	42.47
40	39.26
40	33.48
40	33.51
40	31.07
40	31.55
40	33.92
40	34.42
40	37.51
40	36.42
40	38.38
40	42.55
40	45.09
40	48.48
40	48.08
40	49.35
40	52.45
40	45.6
40	29.76
40	29.36
40	32.0
40	32.39
40	33.84
40	32.06
40	30.17
40	37.71
40	41.6
40	24.58
40	32.31
40	37.49
40	34.84
40	32.44
40	53.31
40	13.61
40	31.45
40	33.54
40	0.4
40	0.03
40	5.42
40	54.09
40	51.03
40	54.57
40	58.01
40	48.0
40	17.87
40	0.52
40	12.54
40	4.35
40	0.69
40	0.66
40	34.44
40	11.87
40	14.38
40	22.65
40	1.52
40	0.08
40	0.13
40	97.59
40	98.78
40	101.07
40	101.29
40	100.05
40	101.25
40	97.99
40	98.8
40	93.32
40	101.72
40	100.21
40	100.93
40	98.51
40	98.5
40	97.4
40	90.32
40	94.68
40	101.78
40	101.41
40	99.13
40	97.77
40	100.56
40	101.44
40	101.64
40	100.36
40	101.14
40	101.24
40	100.75
40	100.74
40	101.5
40	100.85
40	91.28
40	92.73
40	90.26
40	88.98
40	90.51
40	3.31
40	9.24
40	0.68
40	3.36
40	31.29
40	10.06
40	0.18
40	0.07
40	20.68
40	54.57
40	52.85
40	33.42
40	54.48
40	53.74
40	0.68
40	36.37
40	19.1
40	32.95
40	46.74
40	41.95
40	38.85
40	41.47
40	36.3
40	36.98
40	18.86
40	0.13
40	0.19
40	0.01
40	0.05
40	0.0
40	94.29
40	85.42
40	57.52
40	91.28
40	88.4
40	94.69
40	104.1
40	34.95
40	29.98
40	17.2
40	41.32
40	45.29
40	34.38
40	33.48
40	59.39
40	36.08
40	6.6
40	0.13
40	0.18
40	52.91
40	84.8
40	93.05
40	83.34
40	78.28
40	79.05
40	84.96
40	84.37
40	83.4
40	77.57
40	83.71
40	92.27
40	98.04
40	84.91
40	99.29
40	91.41
40	98.48
40	99.22
40	94.08
40	78.39
40	99.02
40	95.89
40	91.19
40	88.21
40	99.42
40	99.09
40	93.53
40	92.53
40	79.49
40	78.96
40	97.55
40	95.76
40	97.57
40	89.81
40	95.59
40	91.59
40	70.13
40	89.53
40	88.68
40	80.06
40	86.92
40	95.35
40	79.85
40	92.66
40	94.88
40	98.01
40	86.59
40	86.66
40	85.54
40	77.13
40	68.07
40	86.36
40	90.06
40	79.53
40	90.75
40	94.18
40	94.6
40	89.41
40	74.37
40	73.01
40	91.08
40	37.9
40	59.56
40	59.55
40	59.29
40	59.33
40	35.47
40	59.35
