Operators	MIMO_layers
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	1.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	2.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
O_Sp100	4.0
