Operators	QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	16QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	16QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	16QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	256QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	256QAM
O_Sp100	256QAM
O_Sp100	256QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	64QAM
O_Sp100	256QAM
O_Sp100	256QAM
O_Sp100	256QAM
