Config	tput	cqi
60	6.236	9.84
60	14.62	9.73
60	3.077	9.92
60	3.222	9.22
60	1.714	7.82
60	0.271	7.07
60	2.167	9.67
60	4.914	9.17
60	3.354	8.7
60	29.277	9.55
60	24.594	9.48
60	32.443	9.55
60	33.01	9.9
60	19.576	9.62
60	21.979	9.32
60	19.218	9.03
60	15.738	9.42
60	17.092	9.0
60	16.951	9.0
60	13.624	8.13
60	16.79	9.0
60	17.329	8.34
60	14.149	8.17
60	14.217	8.0
60	11.215	8.97
60	8.247	7.63
60	7.124	7.18
60	9.193	7.06
60	15.803	8.26
60	11.154	8.44
60	8.0	7.39
60	17.948	8.79
60	11.713	8.15
60	11.76	9.33
60	11.515	9.65
60	14.679	9.19
60	13.593	9.0
60	7.917	8.24
60	9.139	8.53
60	6.052	7.18
60	8.549	8.81
60	10.843	7.45
60	2.38	7.0
60	0.001	4.5
60	0.001	5.33
60	11.348	5.3
60	16.332	6.21
60	15.281	7.52
60	7.809	4.27
60	15.881	8.34
60	14.164	8.91
60	14.682	9.91
60	14.746	9.68
60	15.985	7.68
60	14.625	8.36
60	9.66	7.43
60	7.471	7.58
60	13.612	8.69
60	17.642	9.47
60	16.544	7.19
60	16.359	6.9
60	15.551	9.17
60	21.607	9.48
60	20.693	9.13
60	23.967	9.27
60	28.063	9.85
60	25.381	9.0
60	28.048	9.0
60	26.893	8.72
60	29.535	9.63
60	23.889	9.94
60	24.972	9.94
60	23.735	9.58
60	22.218	8.69
60	21.333	7.55
60	20.286	6.32
60	20.457	7.19
60	21.04	8.74
60	21.892	9.03
60	21.126	8.03
60	21.392	7.71
60	19.733	8.64
60	17.964	8.03
60	19.456	6.97
60	16.514	9.16
60	14.7	8.61
60	11.227	7.71
60	16.17	9.34
60	7.908	8.73
60	8.031	8.27
60	5.459	6.27
60	32.182	9.7
60	26.877	9.88
60	15.864	8.97
60	13.783	6.41
60	15.83	7.41
60	13.217	7.57
60	19.745	8.95
60	14.641	9.88
60	18.716	9.32
60	18.713	9.51
60	15.07	8.88
60	23.267	9.43
60	24.959	9.25
60	33.193	9.23
60	33.107	9.15
60	35.536	9.79
60	36.564	9.97
60	34.695	9.47
60	31.914	9.52
60	33.61	9.51
60	36.749	9.22
60	15.096	9.94
60	0.001	9.5
60	0.009	9.6
60	0.007	9.0
60	2.869	9.44
60	6.114	7.31
60	7.947	8.88
60	6.536	9.68
60	5.678	8.69
60	10.232	7.14
60	34.117	8.91
60	31.925	8.76
60	40.847	9.91
60	33.158	9.91
60	23.189	9.94
60	16.279	9.64
60	11.744	7.44
60	13.824	7.0
60	14.766	9.18
60	15.406	9.39
60	10.707	9.77
60	10.649	8.07
60	12.826	7.9
60	11.723	7.75
60	10.864	8.13
60	14.908	8.41
60	11.8	7.63
60	4.414	7.35
60	8.09	8.18
60	7.405	7.78
60	6.75	7.18
60	4.254	7.73
60	0.006	8.0
60	0.001	7.5
60	0.006	9.0
60	0.046	8.0
60	1.705	6.48
60	1.737	6.03
60	1.431	4.93
60	1.307	4.72
60	0.597	6.52
60	0.435	3.73
60	0.649	4.16
60	0.65	4.12
60	0.554	3.05
60	0.719	4.0
60	3.616	8.34
60	2.191	9.45
60	2.223	7.24
60	2.592	8.44
60	1.444	7.17
60	0.884	5.88
60	0.869	4.18
60	5.507	8.38
60	4.419	8.71
60	7.374	9.25
60	5.041	8.12
60	14.96	8.48
60	21.285	9.36
