Config	tput	cqi
60	46.917	12.27
60	56.355	12.06
60	50.057	12.38
60	51.858	12.84
60	50.78	12.27
60	49.329	12.03
60	49.154	12.34
60	49.351	12.79
60	50.014	12.78
60	49.504	12.45
60	50.012	13.1
60	47.998	13.33
60	49.274	12.56
60	52.22	12.55
60	49.433	12.64
60	49.555	12.5
60	51.64	12.79
60	50.238	13.03
60	46.356	12.22
60	65.414	12.38
60	74.212	12.84
60	71.804	12.76
60	56.46	12.62
60	100.061	13.88
60	109.952	13.86
60	88.146	13.14
60	67.638	12.86
60	47.967	12.52
60	33.386	12.0
60	23.358	12.0
60	20.871	13.35
60	20.579	12.21
60	22.152	13.3
60	23.227	13.86
60	23.276	13.58
60	29.318	13.86
60	31.152	14.0
60	28.702	13.37
60	27.1	12.74
60	32.065	12.32
60	15.485	13.0
60	15.059	12.3
60	15.882	12.94
60	21.86	12.0
60	25.77	12.24
60	24.492	12.48
60	14.655	12.03
60	0.011	13.0
60	0.005	14.0
60	40.593	12.53
60	30.102	13.18
60	21.987	12.53
60	23.821	13.97
60	18.472	13.65
60	10.207	12.06
60	10.043	12.15
60	50.385	12.48
100	41.823	12.0
100	52.143	13.0
100	59.919	12.67
100	35.414	12.0
100	32.588	12.0
100	39.727	12.83
100	39.982	12.83
100	45.823	12.0
100	32.953	12.0
100	46.415	12.33
100	35.466	12.0
100	26.41	12.0
100	39.427	13.17
100	39.352	12.17
100	39.32	12.71
100	48.853	13.17
100	44.511	12.33
100	45.097	12.86
100	43.645	12.2
100	44.772	13.43
100	41.908	12.83
100	40.107	13.33
100	39.531	13.71
100	36.24	12.83
100	39.224	13.33
100	28.559	12.17
100	25.499	12.0
100	33.021	13.43
100	39.888	12.33
100	38.02	12.5
100	40.815	14.0
100	39.79	13.33
100	42.674	13.0
100	41.73	13.83
100	40.08	13.67
100	42.712	13.67
100	44.89	13.86
100	45.626	13.5
100	46.245	13.17
100	49.718	13.83
100	44.611	12.14
100	34.308	13.17
100	39.287	12.83
100	47.29	12.83
100	49.263	13.29
100	46.397	13.5
100	46.756	13.5
100	41.705	12.29
100	35.881	12.33
100	42.725	13.0
100	30.17	12.0
100	40.088	12.17
100	45.468	12.0
100	37.316	13.17
100	11.056	12.33
100	19.729	12.0
100	6.441	12.5
100	8.739	12.2
100	3.482	12.0
100	31.398	13.14
100	74.869	13.0
100	76.495	13.0
100	74.618	13.43
100	55.432	12.17
100	49.241	12.33
100	54.993	12.33
100	53.642	15.0
100	54.246	15.0
100	52.711	15.0
100	52.812	14.0
100	50.156	13.5
100	54.104	14.83
100	46.713	13.5
100	50.159	13.71
100	31.98	14.5
100	29.915	12.67
100	11.781	12.29
100	9.564	12.5
100	9.06	13.17
100	9.739	12.5
100	7.533	12.14
100	13.414	13.57
100	12.788	12.4
100	9.162	12.86
100	8.027	12.0
100	8.999	12.83
100	14.639	13.0
100	31.954	14.29
100	34.346	14.67
100	28.293	13.83
100	26.659	14.67
100	31.21	14.0
100	37.288	14.5
100	14.293	13.33
100	28.073	12.86
100	30.659	12.67
100	44.204	12.5
100	41.585	13.83
100	48.183	13.71
100	39.517	14.17
100	38.799	13.17
100	41.975	12.83
100	39.433	12.67
100	35.835	12.29
100	23.691	12.5
100	38.885	12.17
100	38.889	12.86
100	53.346	12.67
100	55.693	14.14
100	56.427	13.67
100	60.031	15.0
100	54.11	14.0
100	55.182	14.57
100	54.026	13.0
100	51.099	15.0
100	52.144	15.0
100	20.031	12.0
100	24.267	12.33
100	30.966	13.14
100	58.15	14.17
100	64.932	13.57
100	66.295	13.0
100	67.754	12.67
100	63.241	12.14
100	68.421	12.17
100	52.324	12.83
100	45.604	12.83
100	41.028	12.0
100	43.644	12.17
100	47.02	12.14
100	49.709	13.33
100	42.261	12.17
100	12.74	13.17
100	15.711	15.0
100	28.082	15.0
100	30.044	12.6
100	20.925	13.43
100	41.035	13.29
100	40.839	13.5
100	24.387	13.17
100	15.367	12.83
100	28.938	12.57
100	29.625	12.67
100	21.282	13.5
100	36.665	12.83
100	36.704	12.0
100	53.602	13.83
100	58.188	13.33
100	50.569	12.83
100	57.115	12.33
100	49.638	13.0
100	51.852	13.17
100	50.047	13.57
100	49.187	13.83
100	62.068	12.5
100	50.273	12.0
100	23.342	12.33
100	24.131	12.17
100	15.656	12.29
100	24.551	13.83
100	47.081	12.33
100	43.447	12.29
100	48.19	12.0
100	11.705	12.0
100	24.468	12.17
100	43.26	13.17
100	54.821	12.33
100	54.275	13.33
100	50.819	13.57
100	49.313	13.83
100	49.776	14.5
100	49.176	14.57
100	51.219	14.83
100	47.066	14.83
100	46.835	15.0
100	48.876	15.0
100	43.222	15.0
100	41.853	14.17
100	36.583	15.0
100	35.147	14.33
100	35.78	13.29
100	51.351	12.67
100	38.322	13.29
100	43.229	12.17
100	42.727	12.83
100	45.797	12.0
100	45.002	12.43
