Tput(Mbps)	config
0.008	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.253	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.236	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.06	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.542	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.043	O_Sp_100Mhz
0.23	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.675	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.487	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.001	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.385	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.161	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.08	O_Sp_100Mhz
0.283	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.0	O_Sp_100Mhz
0.544	O_Sp_100Mhz
1.11	O_Sp_100Mhz
2.179	O_Sp_100Mhz
2.133	O_Sp_100Mhz
1.532	O_Sp_100Mhz
0.547	O_Sp_100Mhz
1.985	O_Sp_100Mhz
1.242	O_Sp_100Mhz
1.033	O_Sp_100Mhz
1.46	O_Sp_100Mhz
1.346	O_Sp_100Mhz
0.637	O_Sp_100Mhz
1.302	O_Sp_100Mhz
1.514	O_Sp_100Mhz
77.741	O_Sp_100Mhz
118.488	O_Sp_100Mhz
209.948	O_Sp_100Mhz
212.247	O_Sp_100Mhz
235.715	O_Sp_100Mhz
255.781	O_Sp_100Mhz
188.407	O_Sp_100Mhz
206.134	O_Sp_100Mhz
238.618	O_Sp_100Mhz
37.612	O_Sp_100Mhz
193.498	O_Sp_100Mhz
146.6	O_Sp_100Mhz
121.335	O_Sp_100Mhz
156.794	O_Sp_100Mhz
141.92	O_Sp_100Mhz
122.994	O_Sp_100Mhz
183.709	O_Sp_100Mhz
206.406	O_Sp_100Mhz
143.463	O_Sp_100Mhz
75.836	O_Sp_100Mhz
91.068	O_Sp_100Mhz
136.608	O_Sp_100Mhz
87.658	O_Sp_100Mhz
102.23	O_Sp_100Mhz
81.667	O_Sp_100Mhz
60.015	O_Sp_100Mhz
50.03	O_Sp_100Mhz
40.65	O_Sp_100Mhz
20.613	O_Sp_100Mhz
6.211	O_Sp_100Mhz
0.371	O_Sp_100Mhz
16.804	O_Sp_100Mhz
22.745	O_Sp_100Mhz
21.782	O_Sp_100Mhz
23.05	O_Sp_100Mhz
32.729	O_Sp_100Mhz
20.372	O_Sp_100Mhz
16.94	O_Sp_100Mhz
17.388	O_Sp_100Mhz
17.559	O_Sp_100Mhz
7.187	O_Sp_100Mhz
6.329	O_Sp_100Mhz
16.678	O_Sp_100Mhz
92.814	O_Sp_100Mhz
98.783	O_Sp_100Mhz
44.844	O_Sp_100Mhz
118.865	O_Sp_100Mhz
198.098	O_Sp_100Mhz
225.248	O_Sp_100Mhz
233.1	O_Sp_100Mhz
266.784	O_Sp_100Mhz
244.154	O_Sp_100Mhz
21.872	O_Sp_100Mhz
220.361	O_Sp_100Mhz
182.968	O_Sp_100Mhz
56.978	O_Sp_100Mhz
234.959	O_Sp_100Mhz
160.607	O_Sp_100Mhz
273.077	O_Sp_100Mhz
247.174	O_Sp_100Mhz
59.626	O_Sp_100Mhz
226.928	O_Sp_100Mhz
277.535	O_Sp_100Mhz
293.65	O_Sp_100Mhz
305.241	O_Sp_100Mhz
329.772	O_Sp_100Mhz
105.407	O_Sp_100Mhz
56.829	O_Sp_100Mhz
341.42	O_Sp_100Mhz
312.148	O_Sp_100Mhz
279.294	O_Sp_100Mhz
137.683	O_Sp_100Mhz
251.765	O_Sp_100Mhz
309.591	O_Sp_100Mhz
292.135	O_Sp_100Mhz
121.934	O_Sp_100Mhz
301.514	O_Sp_100Mhz
304.985	O_Sp_100Mhz
229.358	O_Sp_100Mhz
237.226	O_Sp_100Mhz
246.829	O_Sp_100Mhz
191.685	O_Sp_100Mhz
260.175	O_Sp_100Mhz
282.618	O_Sp_100Mhz
252.92	O_Sp_100Mhz
261.23	O_Sp_100Mhz
261.649	O_Sp_100Mhz
305.896	O_Sp_100Mhz
337.556	O_Sp_100Mhz
243.324	O_Sp_100Mhz
296.041	O_Sp_100Mhz
310.281	O_Sp_100Mhz
362.17	O_Sp_100Mhz
294.007	O_Sp_100Mhz
344.704	O_Sp_100Mhz
348.614	O_Sp_100Mhz
271.456	O_Sp_100Mhz
215.841	O_Sp_100Mhz
248.999	O_Sp_100Mhz
290.189	O_Sp_100Mhz
275.404	O_Sp_100Mhz
187.943	O_Sp_100Mhz
264.122	O_Sp_100Mhz
226.553	O_Sp_100Mhz
210.854	O_Sp_100Mhz
244.617	O_Sp_100Mhz
141.839	O_Sp_100Mhz
243.561	O_Sp_100Mhz
267.565	O_Sp_100Mhz
285.514	O_Sp_100Mhz
340.13	O_Sp_100Mhz
297.981	O_Sp_100Mhz
315.837	O_Sp_100Mhz
326.122	O_Sp_100Mhz
349.256	O_Sp_100Mhz
345.544	O_Sp_100Mhz
297.129	O_Sp_100Mhz
302.296	O_Sp_100Mhz
394.039	O_Sp_100Mhz
268.935	O_Sp_100Mhz
263.53	O_Sp_100Mhz
285.58	O_Sp_100Mhz
287.108	O_Sp_100Mhz
398.905	O_Sp_100Mhz
