Tput(Mbps)	config
574.623	V_It_90Mhz
680.45	V_It_90Mhz
563.7	V_It_90Mhz
687.92	V_It_90Mhz
737.551	V_It_90Mhz
680.472	V_It_90Mhz
724.098	V_It_90Mhz
789.332	V_It_90Mhz
803.597	V_It_90Mhz
830.455	V_It_90Mhz
869.515	V_It_90Mhz
818.438	V_It_90Mhz
876.597	V_It_90Mhz
961.624	V_It_90Mhz
976.122	V_It_90Mhz
924.183	V_It_90Mhz
836.898	V_It_90Mhz
897.359	V_It_90Mhz
971.721	V_It_90Mhz
1002.787	V_It_90Mhz
911.142	V_It_90Mhz
1042.741	V_It_90Mhz
912.535	V_It_90Mhz
991.557	V_It_90Mhz
862.478	V_It_90Mhz
632.956	V_It_90Mhz
700.391	V_It_90Mhz
588.874	V_It_90Mhz
644.628	V_It_90Mhz
662.235	V_It_90Mhz
900.704	V_It_90Mhz
748.599	V_It_90Mhz
881.411	V_It_90Mhz
984.712	V_It_90Mhz
979.674	V_It_90Mhz
991.119	V_It_90Mhz
1015.132	V_It_90Mhz
837.083	V_It_90Mhz
957.782	V_It_90Mhz
942.776	V_It_90Mhz
984.137	V_It_90Mhz
942.443	V_It_90Mhz
796.437	V_It_90Mhz
947.388	V_It_90Mhz
883.265	V_It_90Mhz
858.106	V_It_90Mhz
899.278	V_It_90Mhz
980.032	V_It_90Mhz
918.677	V_It_90Mhz
941.945	V_It_90Mhz
914.196	V_It_90Mhz
916.823	V_It_90Mhz
949.271	V_It_90Mhz
965.637	V_It_90Mhz
839.204	V_It_90Mhz
1041.166	V_It_90Mhz
981.303	V_It_90Mhz
839.945	V_It_90Mhz
880.471	V_It_90Mhz
810.283	V_It_90Mhz
807.357	V_It_90Mhz
913.293	V_It_90Mhz
813.775	V_It_90Mhz
891.085	V_It_90Mhz
913.819	V_It_90Mhz
920.581	V_It_90Mhz
911.607	V_It_90Mhz
819.419	V_It_90Mhz
945.04	V_It_90Mhz
844.99	V_It_90Mhz
810.338	V_It_90Mhz
846.049	V_It_90Mhz
850.155	V_It_90Mhz
874.74	V_It_90Mhz
769.268	V_It_90Mhz
780.971	V_It_90Mhz
714.103	V_It_90Mhz
775.816	V_It_90Mhz
842.995	V_It_90Mhz
853.95	V_It_90Mhz
855.531	V_It_90Mhz
809.263	V_It_90Mhz
772.569	V_It_90Mhz
774.432	V_It_90Mhz
806.221	V_It_90Mhz
898.872	V_It_90Mhz
809.422	V_It_90Mhz
804.839	V_It_90Mhz
863.511	V_It_90Mhz
890.547	V_It_90Mhz
914.87	V_It_90Mhz
891.096	V_It_90Mhz
773.082	V_It_90Mhz
634.092	V_It_90Mhz
767.961	V_It_90Mhz
701.796	V_It_90Mhz
728.675	V_It_90Mhz
870.799	V_It_90Mhz
824.55	V_It_90Mhz
921.022	V_It_90Mhz
809.764	V_It_90Mhz
858.918	V_It_90Mhz
827.451	V_It_90Mhz
907.434	V_It_90Mhz
877.739	V_It_90Mhz
896.845	V_It_90Mhz
893.571	V_It_90Mhz
842.432	V_It_90Mhz
817.933	V_It_90Mhz
858.25	V_It_90Mhz
837.608	V_It_90Mhz
913.381	V_It_90Mhz
862.848	V_It_90Mhz
813.527	V_It_90Mhz
868.661	V_It_90Mhz
908.747	V_It_90Mhz
800.106	V_It_90Mhz
860.219	V_It_90Mhz
831.097	V_It_90Mhz
845.751	V_It_90Mhz
863.07	V_It_90Mhz
900.625	V_It_90Mhz
847.744	V_It_90Mhz
839.271	V_It_90Mhz
853.635	V_It_90Mhz
850.626	V_It_90Mhz
806.55	V_It_90Mhz
883.761	V_It_90Mhz
841.483	V_It_90Mhz
967.488	V_It_90Mhz
816.665	V_It_90Mhz
865.09	V_It_90Mhz
932.241	V_It_90Mhz
804.673	V_It_90Mhz
733.74	V_It_90Mhz
847.16	V_It_90Mhz
880.538	V_It_90Mhz
847.986	V_It_90Mhz
920.8	V_It_90Mhz
803.604	V_It_90Mhz
943.137	V_It_90Mhz
851.008	V_It_90Mhz
956.352	V_It_90Mhz
810.704	V_It_90Mhz
964.462	V_It_90Mhz
932.206	V_It_90Mhz
853.49	V_It_90Mhz
960.616	V_It_90Mhz
873.86	V_It_90Mhz
900.017	V_It_90Mhz
926.626	V_It_90Mhz
838.16	V_It_90Mhz
859.736	V_It_90Mhz
964.452	V_It_90Mhz
848.21	V_It_90Mhz
923.103	V_It_90Mhz
843.845	V_It_90Mhz
895.801	V_It_90Mhz
916.616	V_It_90Mhz
914.545	V_It_90Mhz
1033.106	V_It_90Mhz
879.035	V_It_90Mhz
866.59	V_It_90Mhz
1010.097	V_It_90Mhz
969.51	V_It_90Mhz
905.592	V_It_90Mhz
893.787	V_It_90Mhz
960.122	V_It_90Mhz
923.456	V_It_90Mhz
865.722	V_It_90Mhz
846.468	V_It_90Mhz
863.346	V_It_90Mhz
911.062	V_It_90Mhz
835.327	V_It_90Mhz
923.232	V_It_90Mhz
803.086	V_It_90Mhz
944.899	V_It_90Mhz
914.547	V_It_90Mhz
844.946	V_It_90Mhz
879.445	V_It_90Mhz
924.116	V_It_90Mhz
911.991	V_It_90Mhz
938.088	V_It_90Mhz
891.144	V_It_90Mhz
889.052	V_It_90Mhz
957.933	V_It_90Mhz
959.363	V_It_90Mhz
880.63	V_It_90Mhz
969.974	V_It_90Mhz
902.985	V_It_90Mhz
960.217	V_It_90Mhz
