Tput(Mbps)	config
0.027	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.005	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.005	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.001	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.006	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.0	V_Sp_90Mhz
0.001	V_Sp_90Mhz
0.119	V_Sp_90Mhz
0.209	V_Sp_90Mhz
0.19	V_Sp_90Mhz
0.173	V_Sp_90Mhz
0.152	V_Sp_90Mhz
0.11	V_Sp_90Mhz
0.152	V_Sp_90Mhz
0.119	V_Sp_90Mhz
0.134	V_Sp_90Mhz
0.108	V_Sp_90Mhz
14.7	V_Sp_90Mhz
6.7	V_Sp_90Mhz
0.143	V_Sp_90Mhz
86.473	V_Sp_90Mhz
319.241	V_Sp_90Mhz
589.316	V_Sp_90Mhz
530.879	V_Sp_90Mhz
463.398	V_Sp_90Mhz
506.328	V_Sp_90Mhz
528.988	V_Sp_90Mhz
725.567	V_Sp_90Mhz
748.273	V_Sp_90Mhz
832.992	V_Sp_90Mhz
753.548	V_Sp_90Mhz
695.645	V_Sp_90Mhz
628.264	V_Sp_90Mhz
791.614	V_Sp_90Mhz
684.103	V_Sp_90Mhz
689.969	V_Sp_90Mhz
718.522	V_Sp_90Mhz
852.785	V_Sp_90Mhz
748.6	V_Sp_90Mhz
591.661	V_Sp_90Mhz
