time(ms)	MimoLayers	config
0		O_Sp_100Mhz
1	0.030495837324099315	O_Sp_100Mhz
4	0.05732868880480013	O_Sp_100Mhz
9	0.10322507205630119	O_Sp_100Mhz
16	0.16523519862040162	O_Sp_100Mhz
25	0.21178516171811684	O_Sp_100Mhz
36	0.23470833616722211	O_Sp_100Mhz
49	0.24087821410152507	O_Sp_100Mhz
64	0.23430768159994156	O_Sp_100Mhz
81	0.2335662114681863	O_Sp_100Mhz
100	0.2293232673604026	O_Sp_100Mhz
121	0.22097185333146946	O_Sp_100Mhz
144	0.21797659905921585	O_Sp_100Mhz
169	0.2074632278150733	O_Sp_100Mhz
196	0.19960315495348918	O_Sp_100Mhz
225	0.1967465823301367	O_Sp_100Mhz
256	0.19358584156933212	O_Sp_100Mhz
289	0.1926138272725665	O_Sp_100Mhz
324	0.18673383959689502	O_Sp_100Mhz
361	0.18032025021603906	O_Sp_100Mhz
400	0.17706882674453425	O_Sp_100Mhz
441	0.18103399642197754	O_Sp_100Mhz
484	0.17427624897473165	O_Sp_100Mhz
529	0.17366233449558127	O_Sp_100Mhz
576	0.1741960585647261	O_Sp_100Mhz
625	0.16850262402624028	O_Sp_100Mhz
676	0.15965654489836897	O_Sp_100Mhz
729	0.16543845723326972	O_Sp_100Mhz
784	0.15613458135779562	O_Sp_100Mhz
841	0.1488993353336315	O_Sp_100Mhz
900	0.15457843070575167	O_Sp_100Mhz
961	0.15646571333960235	O_Sp_100Mhz
1024	0.14060037779179385	O_Sp_100Mhz
1089	0.1476223150905437	O_Sp_100Mhz
1156	0.14075260213062446	O_Sp_100Mhz
1225	0.1435320120828114	O_Sp_100Mhz
1296	0.14012882241045546	O_Sp_100Mhz
1369	0.14456972865989168	O_Sp_100Mhz
1444	0.13959225837022554	O_Sp_100Mhz
1521	0.14312332870456362	O_Sp_100Mhz
1600	0.1504451182988919	O_Sp_100Mhz
1681	0.1362471722169869	O_Sp_100Mhz
1764	0.15010435992578852	O_Sp_100Mhz
1849	0.15293492695686686	O_Sp_100Mhz
1936	0.1411383051790933	O_Sp_100Mhz
2025	0.14860188430295823	O_Sp_100Mhz
2116	0.15049128361803885	O_Sp_100Mhz
2209	0.15172787350860673	O_Sp_100Mhz
2304	0.14422767212945786	O_Sp_100Mhz
2401	0.14980949065865012	O_Sp_100Mhz
2500	0.1419061165875624	O_Sp_100Mhz
2601	0.13159098185801962	O_Sp_100Mhz
2704	0.15078292145260475	O_Sp_100Mhz
2809	0.13739460054032743	O_Sp_100Mhz
2916	0.1446136466015675	O_Sp_100Mhz
3025	0.14198299971718567	O_Sp_100Mhz
3136	0.14652906617192332	O_Sp_100Mhz
3249	0.13475151496939264	O_Sp_100Mhz
3364	0.14227568976489435	O_Sp_100Mhz
3481	0.14340688842341742	O_Sp_100Mhz
3600	0.14264158867290613	O_Sp_100Mhz
3721	0.1482277836276968	O_Sp_100Mhz
3844	0.14693501087881936	O_Sp_100Mhz
3969	0.1425604574275363	O_Sp_100Mhz
