time(ms)	MimoLayers	config
0		V_It_90Mhz
1	0.0009651349076622613	V_It_90Mhz
4	0.003464098164612905	V_It_90Mhz
9	0.007292154110123226	V_It_90Mhz
16	0.01270277647792856	V_It_90Mhz
25	0.01687545698269559	V_It_90Mhz
36	0.019637472053241824	V_It_90Mhz
49	0.021451319381255687	V_It_90Mhz
64	0.021659863768718802	V_It_90Mhz
81	0.022998254901387304	V_It_90Mhz
100	0.022239194020149494	V_It_90Mhz
121	0.021257511301482276	V_It_90Mhz
144	0.021437763219466548	V_It_90Mhz
169	0.02094739579946681	V_It_90Mhz
196	0.021074353308202277	V_It_90Mhz
225	0.021370397464033165	V_It_90Mhz
256	0.021789855449251248	V_It_90Mhz
289	0.021226292374534945	V_It_90Mhz
324	0.020603234073553706	V_It_90Mhz
361	0.021448636416838987	V_It_90Mhz
400	0.02023081924577374	V_It_90Mhz
441	0.020655416638199982	V_It_90Mhz
484	0.019323875837834292	V_It_90Mhz
529	0.02045557330591609	V_It_90Mhz
576	0.01893141385767788	V_It_90Mhz
625	0.018806504065040665	V_It_90Mhz
676	0.01823590610572857	V_It_90Mhz
729	0.018388495569468	V_It_90Mhz
784	0.01847212099125366	V_It_90Mhz
841	0.018090010261756218	V_It_90Mhz
900	0.0172401433691756	V_It_90Mhz
961	0.017855749219562962	V_It_90Mhz
1024	0.017132161458333333	V_It_90Mhz
1089	0.01814730151287212	V_It_90Mhz
1156	0.018702682311314608	V_It_90Mhz
1225	0.017786811935929746	V_It_90Mhz
1296	0.01789667656404648	V_It_90Mhz
1369	0.01817345820724201	V_It_90Mhz
1444	0.016753800736087784	V_It_90Mhz
1521	0.01673924788928597	V_It_90Mhz
1600	0.018597005208333347	V_It_90Mhz
1681	0.01940362066555491	V_It_90Mhz
1764	0.01878241718143196	V_It_90Mhz
1849	0.017994096450702747	V_It_90Mhz
1936	0.018323700177842853	V_It_90Mhz
2025	0.016878423677540687	V_It_90Mhz
2116	0.01676227103839385	V_It_90Mhz
2209	0.01818916075831051	V_It_90Mhz
2304	0.016111241645781108	V_It_90Mhz
2401	0.01622045501874221	V_It_90Mhz
2500	0.018884552845528438	V_It_90Mhz
2601	0.017395525840778338	V_It_90Mhz
2704	0.01829148557365033	V_It_90Mhz
2809	0.016202834271231713	V_It_90Mhz
2916	0.016496831928930686	V_It_90Mhz
3025	0.017409377301366467	V_It_90Mhz
3136	0.015433022698875453	V_It_90Mhz
3249	0.017606071917382084	V_It_90Mhz
3364	0.016689315440801784	V_It_90Mhz
3481	0.016025306207725076	V_It_90Mhz
3600	0.018303921568627445	V_It_90Mhz
3721	0.016691683982144837	V_It_90Mhz
3844	0.01673712278876168	V_It_90Mhz
3969	0.01582066207916549	V_It_90Mhz
