time(ms)	MimoLayers	config
0		V_Sp_90Mhz
1	0.015007348747422454	V_Sp_90Mhz
4	0.026970999868380644	V_Sp_90Mhz
9	0.047342875946034875	V_Sp_90Mhz
16	0.07691780371166586	V_Sp_90Mhz
25	0.10219784739836839	V_Sp_90Mhz
36	0.11716299221235055	V_Sp_90Mhz
49	0.12233928777100735	V_Sp_90Mhz
64	0.12614623552123552	V_Sp_90Mhz
81	0.1264732821078149	V_Sp_90Mhz
100	0.12170323642347777	V_Sp_90Mhz
121	0.12270244916655923	V_Sp_90Mhz
144	0.12135773213972266	V_Sp_90Mhz
169	0.11699900969185231	V_Sp_90Mhz
196	0.11188281764318632	V_Sp_90Mhz
225	0.11084773662551442	V_Sp_90Mhz
256	0.11279845505617977	V_Sp_90Mhz
289	0.110309552752388	V_Sp_90Mhz
324	0.10821399176954731	V_Sp_90Mhz
361	0.10746276843750857	V_Sp_90Mhz
400	0.11055982436882547	V_Sp_90Mhz
441	0.10829448809386548	V_Sp_90Mhz
484	0.10772337646658543	V_Sp_90Mhz
529	0.11151472916283701	V_Sp_90Mhz
576	0.10792412673336844	V_Sp_90Mhz
625	0.11109159519725559	V_Sp_90Mhz
676	0.11248367017597787	V_Sp_90Mhz
729	0.11035116598079561	V_Sp_90Mhz
784	0.11038786482334868	V_Sp_90Mhz
841	0.11299371418057796	V_Sp_90Mhz
900	0.11094375857338819	V_Sp_90Mhz
961	0.11429661824341947	V_Sp_90Mhz
1024	0.1095971954002809	V_Sp_90Mhz
1089	0.11379689065523851	V_Sp_90Mhz
1156	0.12014335145823037	V_Sp_90Mhz
1225	0.11233078135855916	V_Sp_90Mhz
1296	0.11582311849215764	V_Sp_90Mhz
1369	0.11369365707914784	V_Sp_90Mhz
1444	0.11524974717495491	V_Sp_90Mhz
1521	0.11162387660617464	V_Sp_90Mhz
1600	0.11134300213311717	V_Sp_90Mhz
1681	0.11467966649539774	V_Sp_90Mhz
1764	0.10579049273989251	V_Sp_90Mhz
1849	0.11715208934449406	V_Sp_90Mhz
1936	0.10953435466854228	V_Sp_90Mhz
2025	0.11385185185185184	V_Sp_90Mhz
2116	0.11846891897832684	V_Sp_90Mhz
2209	0.11578802968572093	V_Sp_90Mhz
2304	0.11002054764416314	V_Sp_90Mhz
2401	0.11211784251435492	V_Sp_90Mhz
2500	0.11646744191175311	V_Sp_90Mhz
2601	0.11700170264184107	V_Sp_90Mhz
2704	0.11797494331441946	V_Sp_90Mhz
2809	0.1123345094781266	V_Sp_90Mhz
2916	0.1280082304526749	V_Sp_90Mhz
3025	0.11748754295742832	V_Sp_90Mhz
3136	0.11571849482088034	V_Sp_90Mhz
3249	0.11303752803060284	V_Sp_90Mhz
3364	0.11050830343571334	V_Sp_90Mhz
3481	0.11592982298521025	V_Sp_90Mhz
3600	0.13004957313913207	V_Sp_90Mhz
3721	0.08985131273686574	V_Sp_90Mhz
3844	0.10580771606575377	V_Sp_90Mhz
3969	0.12124088482016264	V_Sp_90Mhz
