time(ms)	MimoLayers	config
0		O_Sp_90Mhz
100	0.026193874251563772	O_Sp_90Mhz
200	0.03209495244572792	O_Sp_90Mhz
300	0.03655232392835043	O_Sp_90Mhz
400	0.04197932810775252	O_Sp_90Mhz
500	0.04768010703981936	O_Sp_90Mhz
600	0.05376505940135918	O_Sp_90Mhz
700	0.05978374490930832	O_Sp_90Mhz
800	0.0659578975536873	O_Sp_90Mhz
900	0.07188214305625244	O_Sp_90Mhz
1000	0.07841333556336066	O_Sp_90Mhz
1100	0.08500514295749324	O_Sp_90Mhz
1200	0.09151474605563918	O_Sp_90Mhz
1300	0.09793782822482631	O_Sp_90Mhz
1400	0.10465634895856564	O_Sp_90Mhz
1500	0.11121424987456097	O_Sp_90Mhz
1600	0.11727844431559699	O_Sp_90Mhz
1700	0.12296297535221082	O_Sp_90Mhz
1800	0.12783074092657637	O_Sp_90Mhz
1900	0.13280685958315097	O_Sp_90Mhz
2000	0.13665049896861237	O_Sp_90Mhz
