time(ms)	MimoLayers	config
0		V_It_90Mhz
100	0.0009651349076622613	V_It_90Mhz
200	0.0018262881505745334	V_It_90Mhz
300	0.0027166848645557118	V_It_90Mhz
400	0.003464098164612905	V_It_90Mhz
500	0.0041920545941993665	V_It_90Mhz
600	0.004997920241252014	V_It_90Mhz
700	0.005699857341084792	V_It_90Mhz
800	0.006492746841366402	V_It_90Mhz
900	0.007292154110123226	V_It_90Mhz
1000	0.008059274665280124	V_It_90Mhz
1100	0.008855309123405639	V_It_90Mhz
1200	0.009661129309000156	V_It_90Mhz
1300	0.010415211082694501	V_It_90Mhz
1400	0.011182243598076173	V_It_90Mhz
1500	0.011948980420830287	V_It_90Mhz
1600	0.01270277647792856	V_It_90Mhz
1700	0.013437671626851945	V_It_90Mhz
1800	0.014178105339780587	V_It_90Mhz
1900	0.014672238759407782	V_It_90Mhz
2000	0.015114389704926557	V_It_90Mhz
