time(ms)	MimoLayers	config
0		V_Sp_90Mhz
100	0.015007348747422454	V_Sp_90Mhz
200	0.01894770324222349	V_Sp_90Mhz
300	0.022729142330662543	V_Sp_90Mhz
400	0.026970999868380644	V_Sp_90Mhz
500	0.031196786267600807	V_Sp_90Mhz
600	0.035361927795418524	V_Sp_90Mhz
700	0.039417471468605865	V_Sp_90Mhz
800	0.04353310226824025	V_Sp_90Mhz
900	0.047342875946034875	V_Sp_90Mhz
1000	0.051705604913897106	V_Sp_90Mhz
1100	0.05593076726910769	V_Sp_90Mhz
1200	0.060189755401996274	V_Sp_90Mhz
1300	0.06442431089515077	V_Sp_90Mhz
1400	0.06840405170475423	V_Sp_90Mhz
1500	0.07300098716683119	V_Sp_90Mhz
1600	0.07691780371166586	V_Sp_90Mhz
1700	0.08060128769016464	V_Sp_90Mhz
1800	0.08408467697707579	V_Sp_90Mhz
1900	0.0872257229507028	V_Sp_90Mhz
2000	0.0897663705166173	V_Sp_90Mhz
