time(ms)	Tput(Mbps)	config
0		O_Sp_90Mhz
100	72.86969710558499	O_Sp_90Mhz
200	65.67613825448613	O_Sp_90Mhz
300	65.64064014687882	O_Sp_90Mhz
400	64.1616725122349	O_Sp_90Mhz
500	67.33201836734693	O_Sp_90Mhz
600	66.21224714052289	O_Sp_90Mhz
700	62.60406897959183	O_Sp_90Mhz
800	66.8167998366013	O_Sp_90Mhz
900	66.31371568627452	O_Sp_90Mhz
1000	66.39189795918368	O_Sp_90Mhz
1100	65.43609050142682	O_Sp_90Mhz
1200	66.84496446078431	O_Sp_90Mhz
1300	71.06617675941081	O_Sp_90Mhz
1400	70.44159673469386	O_Sp_90Mhz
1500	72.97926134969325	O_Sp_90Mhz
1600	70.81907720588234	O_Sp_90Mhz
1700	70.24849060457515	O_Sp_90Mhz
1800	74.69360130718954	O_Sp_90Mhz
1900	71.01118155854753	O_Sp_90Mhz
2000	70.94341569086652	O_Sp_90Mhz
