time(ms)	Tput(Mbps)	config
0		V_It_90Mhz
100	64.1151527632951	V_It_90Mhz
200	48.094839937434834	V_It_90Mhz
300	45.34066145018257	V_It_90Mhz
400	43.20010351426584	V_It_90Mhz
500	41.09907715404699	V_It_90Mhz
600	38.87874169278996	V_It_90Mhz
700	39.391877997914506	V_It_90Mhz
800	39.982948296473396	V_It_90Mhz
900	37.501883150756385	V_It_90Mhz
1000	37.11732181500874	V_It_90Mhz
1100	39.894867084639486	V_It_90Mhz
1200	36.27700976748619	V_It_90Mhz
1300	38.150909536891696	V_It_90Mhz
1400	35.73154327424401	V_It_90Mhz
1500	34.224059542557185	V_It_90Mhz
1600	31.641141981792714	V_It_90Mhz
1700	34.171875875350146	V_It_90Mhz
1800	33.882301600914815	V_It_90Mhz
1900	33.0425289473684	V_It_90Mhz
2000	31.628025540166192	V_It_90Mhz
