time(ms)	Tput(Mbps)	config
0		V_Sp_90Mhz
100	72.96359334935899	V_Sp_90Mhz
200	63.889010016025644	V_Sp_90Mhz
300	61.431483974358976	V_Sp_90Mhz
400	61.51833894230771	V_Sp_90Mhz
500	60.567767134268536	V_Sp_90Mhz
600	61.024745592948726	V_Sp_90Mhz
700	61.31233186195827	V_Sp_90Mhz
800	63.955285657051284	V_Sp_90Mhz
900	62.610839550742064	V_Sp_90Mhz
1000	67.39508841078602	V_Sp_90Mhz
1100	63.62328278358809	V_Sp_90Mhz
1200	64.19396674679487	V_Sp_90Mhz
1300	67.09868990384615	V_Sp_90Mhz
1400	66.14520866773675	V_Sp_90Mhz
1500	68.90856615031554	V_Sp_90Mhz
1600	64.73726362179487	V_Sp_90Mhz
1700	68.39175554660221	V_Sp_90Mhz
1800	68.50330403815187	V_Sp_90Mhz
1900	70.92667848533547	V_Sp_90Mhz
2000	65.58626797912713	V_Sp_90Mhz
