EventType	clientTime(ms)	buffer_level	cls	colors	bitrate_kbps
FRAGMENT_LOADING_STARTED	2024-01-25 08:35:26.144		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:35:26.153		purple	blue	
BUFFER_EMPTY	2024-01-25 08:35:26.157	0.0	red	red	
FRAGMENT_LOADING_STARTED	2024-01-25 08:35:26.158		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:35:26.438		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:35:26.456		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:35:26.465		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:35:26.466		blue	blue	
	2024-01-25 08:35:27.071	3.534		blue	6.0
	2024-01-25 08:35:28.071	2.472		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:35:28.977		purple	blue	
	2024-01-25 08:35:29.071	1.462		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:35:29.089		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:35:29.099		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:35:29.100		blue	blue	
	2024-01-25 08:35:30.071	4.612		blue	5.0
BUFFER_EMPTY	2024-01-25 08:35:30.536	0.0	red	red	
	2024-01-25 08:35:31.071	3.613		blue	5.0
	2024-01-25 08:35:32.071	2.817		blue	5.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:35:32.959		purple	blue	
	2024-01-25 08:35:33.071	1.647		blue	5.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:35:33.113		blue	blue	
	2024-01-25 08:35:34.071	4.863		blue	5.0
BUFFER_EMPTY	2024-01-25 08:35:34.742	0.0	red	red	
	2024-01-25 08:35:35.071	3.811		blue	5.0
	2024-01-25 08:35:36.071	2.748		blue	5.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:35:36.572		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:35:36.761		blue	blue	
