MCS	layers
11.0	4.0
14.0	4.0
18.0	4.0
17.0	4.0
18.0	4.0
18.0	4.0
16.0	4.0
16.0	4.0
16.0	4.0
15.0	4.0
14.0	4.0
13.0	4.0
12.0	4.0
11.0	4.0
14.0	4.0
13.0	3.0
10.0	3.0
12.0	3.0
6.0	4.0
6.0	4.0
8.0	3.0
13.0	4.0
14.0	3.0
15.0	3.0
14.0	3.0
13.0	3.0
15.0	3.0
13.0	3.0
13.0	4.0
9.0	4.0
8.0	4.0
9.0	3.0
9.0	3.0
11.0	3.0
12.0	3.0
14.0	3.0
14.0	3.0
11.0	3.0
13.0	4.0
15.0	4.0
16.0	4.0
13.0	4.0
7.0	4.0
7.0	4.0
7.0	3.0
9.0	3.0
15.0	3.0
15.0	3.0
14.0	3.0
11.0	3.0
12.0	2.0
18.0	2.0
16.0	3.0
12.0	4.0
11.0	4.0
12.0	3.0
13.0	3.0
17.0	3.0
20.0	3.0
17.0	3.0
15.0	3.0
15.0	3.0
15.0	3.0
14.0	3.0
22.0	2.0
20.0	2.0
19.0	2.0
19.0	2.0
17.0	2.0
15.0	3.0
13.0	3.0
12.0	3.0
15.0	3.0
15.0	3.0
16.0	3.0
15.0	3.0
20.0	2.0
13.0	3.0
16.0	2.0
12.0	3.0
13.0	3.0
13.0	3.0
13.0	3.0
14.0	3.0
13.0	3.0
13.0	3.0
13.0	3.0
14.0	3.0
14.0	3.0
13.0	3.0
14.0	3.0
12.0	3.0
12.0	3.0
11.0	3.0
12.0	3.0
11.0	3.0
14.0	3.0
14.0	3.0
14.0	3.0
16.0	3.0
14.0	3.0
13.0	3.0
12.0	3.0
13.0	3.0
13.0	4.0
12.0	4.0
14.0	3.0
15.0	3.0
12.0	4.0
14.0	3.0
14.0	3.0
12.0	4.0
10.0	4.0
11.0	4.0
11.0	4.0
9.0	3.0
8.0	4.0
10.0	4.0
12.0	4.0
13.0	3.0
13.0	4.0
11.0	4.0
11.0	4.0
13.0	4.0
13.0	4.0
16.0	4.0
15.0	4.0
15.0	4.0
16.0	3.0
15.0	3.0
17.0	3.0
18.0	3.0
17.0	3.0
17.0	3.0
12.0	4.0
14.0	3.0
12.0	3.0
13.0	4.0
11.0	4.0
12.0	4.0
15.0	4.0
17.0	4.0
16.0	4.0
15.0	4.0
15.0	4.0
15.0	4.0
13.0	4.0
10.0	4.0
11.0	4.0
13.0	4.0
12.0	4.0
12.0	4.0
10.0	4.0
11.0	4.0
9.0	4.0
10.0	4.0
10.0	4.0
11.0	4.0
13.0	4.0
11.0	4.0
13.0	4.0
12.0	4.0
13.0	4.0
13.0	4.0
13.0	4.0
12.0	4.0
13.0	4.0
11.0	4.0
12.0	4.0
14.0	4.0
15.0	4.0
15.0	4.0
15.0	4.0
16.0	4.0
16.0	4.0
16.0	4.0
14.0	4.0
16.0	4.0
16.0	4.0
14.0	4.0
16.0	4.0
16.0	4.0
16.0	4.0
16.0	4.0
17.0	4.0
12.0	4.0
16.0	4.0
17.0	4.0
16.0	4.0
14.0	4.0
14.0	4.0
15.0	4.0
15.0	4.0
11.0	4.0
16.0	4.0
16.0	4.0
16.0	4.0
16.0	4.0
16.0	4.0
17.0	4.0
17.0	4.0
17.0	4.0
17.0	4.0
17.0	4.0
17.0	4.0
17.0	4.0
15.0	4.0
15.0	4.0
15.0	4.0
16.0	4.0
14.0	4.0
13.0	4.0
16.0	4.0
15.0	4.0
17.0	4.0
18.0	4.0
19.0	4.0
16.0	4.0
13.0	3.0
13.0	4.0
15.0	4.0
15.0	4.0
16.0	4.0
16.0	4.0
16.0	4.0
14.0	4.0
16.0	4.0
15.0	4.0
15.0	4.0
16.0	3.0
15.0	3.0
13.0	4.0
15.0	3.0
17.0	3.0
17.0	4.0
16.0	4.0
16.0	4.0
17.0	4.0
16.0	4.0
17.0	3.0
16.0	4.0
15.0	4.0
16.0	4.0
17.0	4.0
17.0	4.0
15.0	4.0
16.0	3.0
15.0	3.0
18.0	3.0
17.0	4.0
16.0	4.0
17.0	4.0
17.0	4.0
17.0	4.0
18.0	3.0
18.0	4.0
18.0	4.0
17.0	4.0
18.0	4.0
19.0	3.0
18.0	4.0
19.0	4.0
18.0	4.0
18.0	4.0
17.0	4.0
17.0	4.0
17.0	3.0
17.0	3.0
16.0	4.0
16.0	4.0
17.0	4.0
18.0	4.0
