time(secs)	Tput(Mbps)
1	636.6953599999999
2	613.2071679999999
3	570.425344
4	398.45888
5	207.19872
6	365.74336
7	341.416448
8	198.810112
9	209.7152
10	316.250624
11	387.553792
12	432.851968
13	369.098752
14	243.269632
15	225.65376
16	291.0848
17	352.32153600000004
18	293.60128000000003
19	532.676608
20	274.307584
21	220.620288
22	200.487936
23	382.52032
24	283.53536
25	332.188672
26	363.227136
27	373.293056
28	443.7575680000001
29	331.350016
30	352.32153600000004
31	372.4544
32	432.013312
33	395.941888
34	343.094272
35	353.998848
36	273.46841600000005
37	323.800064
38	284.374016
39	208.037888
40	234.042368
41	171.127808
42	280.179712
43	310.378496
44	362.387456
45	311.217152
46	257.529856
47	390.908928
48	416.913408
49	394.264576
50	318.76608
51	403.492864
52	411.041792
53	316.250112
54	281.018368
55	260.886528
56	210.55488
57	223.975424
58	263.401472
59	260.886528
60	260.046848
61	417.753088
62	510.027776
63	463.890432
64	520.933376
65	506.671104
66	366.58176
67	429.49632
68	414.396416
69	583.0082560000001
70	503.31648
71	520.093696
72	393.424896
73	411.041792
74	387.55328
75	379.164672
76	395.941888
77	386.715648
78	453.824512
79	430.336
80	457.179136
81	384.198656
82	423.624704
83	531.836928
84	558.682112
85	517.5767040000001
86	551.970816
87	511.705088
88	577.974272
89	536.870912
90	462.21312
91	606.4947199999999
92	482.34496
93	515.059712
94	430.333952
95	548.614144
96	521.773056
97	606.4947199999999
98	618.242048
99	624.951296
100	471.441408
101	569.585664
102	457.179136
103	566.23104
104	650.9568
105	443.756544
106	474.796032
107	545.2595200000001
108	567.0707199999999
109	504.99584
110	510.025728
111	417.75104
112	471.441408
113	579.653632
114	572.9402879999999
115	551.9687680000001
116	559.521792
117	569.585664
118	536.870912
119	382.521344
120	576.2990080000001
121	598.945792
122	618.242048
123	623.271936
124	603.9797759999999
125	611.5287040000001
126	689.545216
127	638.3738880000001
128	546.93888
129	526.802944
130	644.243456
131	629.98528
132	345.612288
133	651.79648
134	666.0546559999999
135	624.951296
136	661.020672
137	647.602176
138	597.270528
139	607.3344000000001
140	680.316928
141	591.3968639999999
142	636.6945280000001
143	707.158016
144	654.311424
145	699.609088
146	658.505728
147	612.368384
148	702.1281280000001
149	695.4147839999999
150	658.509824
151	665.214976
152	707.158016
153	712.196096
154	725.6145919999999
155	706.322432
156	633.3399039999999
157	690.3808
158	718.061568
159	677.7978880000001
160	479.830016
161	694.575104
162	703.807488
163	707.158016
164	695.4188800000001
165	692.8957439999999
166	675.282944
167	687.030272
168	698.769408
169	692.8957439999999
170	717.225984
171	680.3128320000001
172	697.9338240000001
173	631.660544
174	666.8943360000001
175	672.768
176	682.835968
177	708.001792
178	704.6430720000001
179	711.35232
180	688.7014399999999
181	690.3808
182	713.867264
183	692.8957439999999
184	637.534208
185	704.6430720000001
186	720.584704
187	701.2843519999999
188	682.835968
189	671.9242240000001
190	666.058752
191	587.2025600000001
192	635.019264
193	648.43776
194	631.660544
195	657.6701439999999
196	656.826368
197	665.214976
198	685.350912
199	668.573696
200	677.7978880000001
201	682.835968
202	657.6701439999999
203	635.019264
204	676.962304
205	668.573696
206	662.700032
207	674.44736
208	680.3128320000001
209	702.9637120000001
210	689.545216
211	683.671552
212	702.1281280000001
213	675.282944
214	683.671552
215	672.768
216	681.992192
217	685.350912
218	698.769408
219	699.613184
220	687.030272
221	670.253056
222	706.322432
223	692.8957439999999
224	710.516736
225	708.8373760000001
226	705.478656
227	709.67296
228	713.867264
229	706.322432
230	648.43776
231	660.185088
232	604.8153599999999
233	654.311424
234	613.203968
235	412.721152
236	605.6591360000001
237	649.281536
238	691.224576
239	675.282944
240	686.186496
241	652.632064
242	650.952704
243	670.253056
244	689.545216
245	651.79648
246	604.8153599999999
247	563.716096
248	638.79168
