	Tput(Mbps)	config
145	736.958	Mid-band-Drive
306	479.744	Mid-band-Drive
420	588.917	Mid-band-Drive
529	573.152	Mid-band-Drive
639	617.021	Mid-band-Drive
805	837.327	Mid-band-Drive
961	501.513	Mid-band-Drive
1077	664.564	Mid-band-Drive
1218	848.616	Mid-band-Drive
1376	689.404	Mid-band-Drive
1499	819.914	Mid-band-Drive
1643	754.352	Mid-band-Drive
1804	761.48	Mid-band-Drive
1931	440.194	Mid-band-Drive
2028	719.342	Mid-band-Drive
2189	593.931	Mid-band-Drive
2318	597.007	Mid-band-Drive
2381	607.132	Mid-band-Drive
2514	527.539	Mid-band-Drive
2617	607.777	Mid-band-Drive
2741	568.461	Mid-band-Drive
2892	691.122	Mid-band-Drive
3039	690.066	Mid-band-Drive
3156	839.464	Mid-band-Drive
3329	770.256	Mid-band-Drive
3491	684.379	Mid-band-Drive
3657	508.513	Mid-band-Drive
3753	634.935	Mid-band-Drive
3894	590.186	Mid-band-Drive
3999	622.401	Mid-band-Drive
4167	381.341	Mid-band-Drive
4243	575.622	Mid-band-Drive
4397	574.945	Mid-band-Drive
4534	195.989	Mid-band-Drive
4637	64.61	Mid-band-Drive
4724	460.397	Mid-band-Drive
4886	472.059	Mid-band-Drive
5050	356.567	Mid-band-Drive
5154	345.038	Mid-band-Drive
5291	461.753	Mid-band-Drive
5454	538.146	Mid-band-Drive
5623	652.6	Mid-band-Drive
5781	635.959	Mid-band-Drive
5948	690.246	Mid-band-Drive
6080	591.938	Mid-band-Drive
6250	807.819	Mid-band-Drive
6402	624.066	Mid-band-Drive
6536	614.144	Mid-band-Drive
6688	500.452	Mid-band-Drive
6825	635.33	Mid-band-Drive
6975	611.938	Mid-band-Drive
7121	719.578	Mid-band-Drive
7268	555.05	Mid-band-Drive
7429	496.622	Mid-band-Drive
7568	506.089	Mid-band-Drive
7729	573.827	Mid-band-Drive
7879	530.142	Mid-band-Drive
8009	569.901	Mid-band-Drive
8169	554.427	Mid-band-Drive
8331	530.4	Mid-band-Drive
8486	608.806	Mid-band-Drive
8645	438.725	Mid-band-Drive
8814	568.55	Mid-band-Drive
8964	527.391	Mid-band-Drive
9115	408.033	Mid-band-Drive
9254	597.871	Mid-band-Drive
9401	582.405	Mid-band-Drive
9569	571.089	Mid-band-Drive
9735	740.075	Mid-band-Drive
9895	567.097	Mid-band-Drive
10050	591.011	Mid-band-Drive
10205	468.148	Mid-band-Drive
10373	552.973	Mid-band-Drive
10539	471.288	Mid-band-Drive
10663	494.165	Mid-band-Drive
10818	552.106	Mid-band-Drive
10974	625.164	Mid-band-Drive
11124	377.617	Mid-band-Drive
11214	712.878	Mid-band-Drive
11351	652.293	Mid-band-Drive
11512	299.848	Mid-band-Drive
11606	570.262	Mid-band-Drive
11757	373.721	Mid-band-Drive
11866	553.423	Mid-band-Drive
12001	779.127	Mid-band-Drive
12181	639.047	Mid-band-Drive
12288	598.255	Mid-band-Drive
12430	624.874	Mid-band-Drive
12533	584.758	Mid-band-Drive
12650	556.37	Mid-band-Drive
12798	676.209	Mid-band-Drive
12933	494.122	Mid-band-Drive
13034	704.269	Mid-band-Drive
13150	215.102	Mid-band-Drive
13195	694.979	Mid-band-Drive
13337	698.676	Mid-band-Drive
13468	624.489	Mid-band-Drive
13623	477.091	Mid-band-Drive
13771	505.513	Mid-band-Drive
13904	693.669	Mid-band-Drive
14051	573.707	Mid-band-Drive
14200	529.416	Mid-band-Drive
