	Tput(Mbps)	config
162	765.463	mmWave-Drive
291	745.383	mmWave-Drive
488	957.702	mmWave-Drive
699	1172.481	mmWave-Drive
933	1307.727	mmWave-Drive
1198	1187.051	mmWave-Drive
1524	1214.832	mmWave-Drive
1733	1186.748	mmWave-Drive
2034	660.917	mmWave-Drive
2321	791.328	mmWave-Drive
2746	756.093	mmWave-Drive
3139	1144.92	mmWave-Drive
3630	1499.205	mmWave-Drive
4139	1558.918	mmWave-Drive
4526	1754.099	mmWave-Drive
4990	1660.427	mmWave-Drive
5468	2048.142	mmWave-Drive
6017	1898.752	mmWave-Drive
6567	2096.982	mmWave-Drive
7051	2114.341	mmWave-Drive
7505	2198.036	mmWave-Drive
7942	2290.367	mmWave-Drive
8411	2393.118	mmWave-Drive
8916	2159.447	mmWave-Drive
9499	1612.269	mmWave-Drive
10108	1819.365	mmWave-Drive
10723	2286.703	mmWave-Drive
11307	2590.563	mmWave-Drive
11894	2981.029	mmWave-Drive
12461	2800.332	mmWave-Drive
13077	2053.601	mmWave-Drive
13694	2058.913	mmWave-Drive
14312	1878.019	mmWave-Drive
14911	1743.106	mmWave-Drive
15493	2113.38	mmWave-Drive
16103	1854.356	mmWave-Drive
16715	1648.696	mmWave-Drive
17330	1561.399	mmWave-Drive
17921	1541.352	mmWave-Drive
18556	1730.749	mmWave-Drive
19142	1699.709	mmWave-Drive
19768	1853.385	mmWave-Drive
20378	1510.058	mmWave-Drive
20988	1981.509	mmWave-Drive
21473	1803.775	mmWave-Drive
22076	1346.718	mmWave-Drive
22685	1691.644	mmWave-Drive
23305	1626.199	mmWave-Drive
23920	1654.805	mmWave-Drive
24523	2464.871	mmWave-Drive
25133	2441.514	mmWave-Drive
25745	1768.393	mmWave-Drive
26359	1467.147	mmWave-Drive
26976	860.012	mmWave-Drive
27581	1508.245	mmWave-Drive
28160	1735.556	mmWave-Drive
28766	1954.052	mmWave-Drive
29362	1434.219	mmWave-Drive
29986	1532.949	mmWave-Drive
30466	1507.199	mmWave-Drive
30800	704.19	mmWave-Drive
31244	715.225	mmWave-Drive
31855	1660.756	mmWave-Drive
32462	1230.678	mmWave-Drive
32941	885.738	mmWave-Drive
33554	309.639	mmWave-Drive
34154	688.556	mmWave-Drive
34718	1311.395	mmWave-Drive
35257	1946.586	mmWave-Drive
35676	1665.168	mmWave-Drive
36213	1203.494	mmWave-Drive
36831	1147.476	mmWave-Drive
37431	1067.026	mmWave-Drive
38052	1146.073	mmWave-Drive
38660	543.362	mmWave-Drive
39264	478.741	mmWave-Drive
39868	345.256	mmWave-Drive
40475	229.092	mmWave-Drive
41092	208.142	mmWave-Drive
41708	223.492	mmWave-Drive
42322	254.502	mmWave-Drive
42919	266.662	mmWave-Drive
43526	230.153	mmWave-Drive
44128	154.283	mmWave-Drive
44759	15.587	mmWave-Drive
44790	0.022	mmWave-Drive
44792	0.03	mmWave-Drive
44795	0.021	mmWave-Drive
44798	0.022	mmWave-Drive
44801	1.093	mmWave-Drive
44857	405.897	mmWave-Drive
45372	546.7	mmWave-Drive
45998	518.996	mmWave-Drive
46612	593.883	mmWave-Drive
47225	643.081	mmWave-Drive
47833	636.52	mmWave-Drive
48427	619.871	mmWave-Drive
49046	559.614	mmWave-Drive
49658	485.053	mmWave-Drive
50265	403.526	mmWave-Drive
50859	66.014	mmWave-Drive
50881	2.074	mmWave-Drive
50905	0.079	mmWave-Drive
50910	39.798	mmWave-Drive
51216	369.041	mmWave-Drive
51404	979.022	mmWave-Drive
51720	1254.497	mmWave-Drive
52000	924.758	mmWave-Drive
52220	2062.628	mmWave-Drive
52492	1933.697	mmWave-Drive
52787	1801.987	mmWave-Drive
53230	1616.918	mmWave-Drive
53669	2097.151	mmWave-Drive
54080	1309.75	mmWave-Drive
54466	1581.31	mmWave-Drive
54921	1545.614	mmWave-Drive
55533	1597.185	mmWave-Drive
56112	1172.931	mmWave-Drive
56657	1584.45	mmWave-Drive
57278	1594.438	mmWave-Drive
57889	1200.245	mmWave-Drive
58492	863.855	mmWave-Drive
59095	928.968	mmWave-Drive
59731	673.246	mmWave-Drive
60316	1741.046	mmWave-Drive
60879	2100.716	mmWave-Drive
61293	2274.841	mmWave-Drive
61763	1252.011	mmWave-Drive
62278	534.914	mmWave-Drive
62427	7.438	mmWave-Drive
62454	714.59	mmWave-Drive
62831	1166.397	mmWave-Drive
63449	1123.817	mmWave-Drive
64050	1469.997	mmWave-Drive
64464	1202.145	mmWave-Drive
64699	795.476	mmWave-Drive
65010	2358.442	mmWave-Drive
65459	1577.926	mmWave-Drive
66007	1686.209	mmWave-Drive
66576	823.804	mmWave-Drive
67180	1254.068	mmWave-Drive
67780	620.258	mmWave-Drive
68402	1068.929	mmWave-Drive
69007	561.715	mmWave-Drive
69628	411.015	mmWave-Drive
70240	313.761	mmWave-Drive
70850	230.115	mmWave-Drive
71107	19.674	mmWave-Drive
71108	4.103	mmWave-Drive
71116	16.055	mmWave-Drive
71193	1.884	mmWave-Drive
71196	621.241	mmWave-Drive
71654	982.867	mmWave-Drive
72124	959.442	mmWave-Drive
72758	88.223	mmWave-Drive
72964	0.69	mmWave-Drive
72970	0.247	mmWave-Drive
72978	0.11	mmWave-Drive
72986	54.743	mmWave-Drive
73321	160.472	mmWave-Drive
73705	23.219	mmWave-Drive
73733	0.0	mmWave-Drive
73735	0.001	mmWave-Drive
73738	0.0	mmWave-Drive
73739	0.001	mmWave-Drive
73742	6.906	mmWave-Drive
73846	1.206	mmWave-Drive
73883	545.074	mmWave-Drive
74238	824.023	mmWave-Drive
74833	766.791	mmWave-Drive
75394	708.934	mmWave-Drive
75984	648.867	mmWave-Drive
76566	676.74	mmWave-Drive
77159	212.337	mmWave-Drive
77379	0.281	mmWave-Drive
77386	0.235	mmWave-Drive
77393	0.218	mmWave-Drive
77401	0.18	mmWave-Drive
77410	0.226	mmWave-Drive
77416	0.233	mmWave-Drive
77425	0.254	mmWave-Drive
77432	0.244	mmWave-Drive
77441	0.223	mmWave-Drive
77448	0.255	mmWave-Drive
77456	0.234	mmWave-Drive
