	Tput(Mbps)	config
0	0.065	Mid-band-Walk
6	0.0	Mid-band-Walk
7	0.0	Mid-band-Walk
8	0.017	Mid-band-Walk
11	0.0	Mid-band-Walk
12	0.0	Mid-band-Walk
13	0.0	Mid-band-Walk
14	0.0	Mid-band-Walk
17	0.061	Mid-band-Walk
22	0.085	Mid-band-Walk
33	0.088	Mid-band-Walk
45	8.114	Mid-band-Walk
84	65.782	Mid-band-Walk
244	69.16	Mid-band-Walk
374	6.371	Mid-band-Walk
427	19.857	Mid-band-Walk
496	104.58	Mid-band-Walk
610	124.763	Mid-band-Walk
726	118.251	Mid-band-Walk
875	137.169	Mid-band-Walk
995	167.202	Mid-band-Walk
1151	128.239	Mid-band-Walk
1260	113.442	Mid-band-Walk
1415	54.617	Mid-band-Walk
1526	73.729	Mid-band-Walk
1665	113.533	Mid-band-Walk
1788	129.632	Mid-band-Walk
1906	141.19	Mid-band-Walk
2047	139.265	Mid-band-Walk
2151	132.027	Mid-band-Walk
2288	128.577	Mid-band-Walk
2394	82.033	Mid-band-Walk
2534	76.802	Mid-band-Walk
2662	69.371	Mid-band-Walk
2784	100.963	Mid-band-Walk
2934	123.82	Mid-band-Walk
3058	111.076	Mid-band-Walk
3202	105.426	Mid-band-Walk
3327	92.051	Mid-band-Walk
3456	68.823	Mid-band-Walk
3594	95.637	Mid-band-Walk
3743	102.195	Mid-band-Walk
3870	113.578	Mid-band-Walk
4002	115.595	Mid-band-Walk
4164	124.673	Mid-band-Walk
4295	119.055	Mid-band-Walk
4412	125.528	Mid-band-Walk
4565	113.222	Mid-band-Walk
4715	86.641	Mid-band-Walk
4831	90.494	Mid-band-Walk
4973	90.263	Mid-band-Walk
5081	70.52	Mid-band-Walk
5223	113.831	Mid-band-Walk
5355	120.661	Mid-band-Walk
5491	73.488	Mid-band-Walk
5575	0.472	Mid-band-Walk
5604	24.026	Mid-band-Walk
5743	59.719	Mid-band-Walk
5879	75.433	Mid-band-Walk
6022	121.754	Mid-band-Walk
6136	134.988	Mid-band-Walk
6280	137.061	Mid-band-Walk
6414	79.197	Mid-band-Walk
6527	114.985	Mid-band-Walk
6661	130.243	Mid-band-Walk
6798	124.471	Mid-band-Walk
6945	120.322	Mid-band-Walk
7067	123.86	Mid-band-Walk
7204	106.142	Mid-band-Walk
7330	98.758	Mid-band-Walk
7476	75.884	Mid-band-Walk
7613	71.686	Mid-band-Walk
7745	97.67	Mid-band-Walk
7876	77.894	Mid-band-Walk
8005	115.876	Mid-band-Walk
8144	123.115	Mid-band-Walk
8266	110.268	Mid-band-Walk
8381	124.536	Mid-band-Walk
8521	135.042	Mid-band-Walk
8624	106.191	Mid-band-Walk
8778	82.138	Mid-band-Walk
8902	54.283	Mid-band-Walk
8995	0.049	Mid-band-Walk
9004	27.025	Mid-band-Walk
9122	22.686	Mid-band-Walk
9256	64.577	Mid-band-Walk
9394	123.17	Mid-band-Walk
9513	59.978	Mid-band-Walk
9606	117.547	Mid-band-Walk
9737	150.089	Mid-band-Walk
9866	135.59	Mid-band-Walk
9992	136.546	Mid-band-Walk
10107	134.179	Mid-band-Walk
10258	106.546	Mid-band-Walk
10372	111.381	Mid-band-Walk
10485	140.141	Mid-band-Walk
10609	109.948	Mid-band-Walk
10724	108.636	Mid-band-Walk
10853	102.898	Mid-band-Walk
10961	128.462	Mid-band-Walk
11111	117.892	Mid-band-Walk
11231	102.163	Mid-band-Walk
11350	116.445	Mid-band-Walk
11487	124.628	Mid-band-Walk
11622	151.531	Mid-band-Walk
11741	133.45	Mid-band-Walk
11867	150.338	Mid-band-Walk
12004	100.44	Mid-band-Walk
12106	112.146	Mid-band-Walk
12239	160.08	Mid-band-Walk
12373	124.519	Mid-band-Walk
12500	116.904	Mid-band-Walk
12639	131.341	Mid-band-Walk
12766	107.308	Mid-band-Walk
12891	109.422	Mid-band-Walk
13019	143.311	Mid-band-Walk
13125	115.702	Mid-band-Walk
13264	132.638	Mid-band-Walk
13385	101.861	Mid-band-Walk
13513	129.72	Mid-band-Walk
13654	130.435	Mid-band-Walk
13778	132.531	Mid-band-Walk
13895	122.644	Mid-band-Walk
14012	150.455	Mid-band-Walk
14144	151.654	Mid-band-Walk
14283	188.635	Mid-band-Walk
14415	167.541	Mid-band-Walk
14560	180.497	Mid-band-Walk
14702	179.532	Mid-band-Walk
14823	163.949	Mid-band-Walk
14967	170.671	Mid-band-Walk
15104	117.953	Mid-band-Walk
15217	3.813	Mid-band-Walk
15236	88.266	Mid-band-Walk
15336	178.095	Mid-band-Walk
15459	170.33	Mid-band-Walk
15591	122.219	Mid-band-Walk
15745	103.424	Mid-band-Walk
15857	145.249	Mid-band-Walk
16001	198.684	Mid-band-Walk
16144	172.613	Mid-band-Walk
16280	179.84	Mid-band-Walk
16429	190.044	Mid-band-Walk
16560	151.952	Mid-band-Walk
16685	108.658	Mid-band-Walk
16826	108.888	Mid-band-Walk
16967	146.199	Mid-band-Walk
17094	191.595	Mid-band-Walk
17242	135.632	Mid-band-Walk
17379	101.763	Mid-band-Walk
17507	68.366	Mid-band-Walk
17639	77.803	Mid-band-Walk
17768	77.952	Mid-band-Walk
17903	84.024	Mid-band-Walk
18043	94.697	Mid-band-Walk
18163	80.425	Mid-band-Walk
18304	88.642	Mid-band-Walk
18420	112.033	Mid-band-Walk
18556	92.77	Mid-band-Walk
18685	147.369	Mid-band-Walk
18808	142.932	Mid-band-Walk
18973	170.258	Mid-band-Walk
19100	131.231	Mid-band-Walk
19230	96.55	Mid-band-Walk
19362	132.991	Mid-band-Walk
19492	143.243	Mid-band-Walk
19627	170.812	Mid-band-Walk
19767	171.53	Mid-band-Walk
19911	163.634	Mid-band-Walk
20042	148.199	Mid-band-Walk
20180	138.602	Mid-band-Walk
20314	152.657	Mid-band-Walk
20428	125.726	Mid-band-Walk
20561	139.617	Mid-band-Walk
20687	188.705	Mid-band-Walk
20835	187.361	Mid-band-Walk
20974	127.238	Mid-band-Walk
21099	114.711	Mid-band-Walk
21240	138.216	Mid-band-Walk
21359	153.245	Mid-band-Walk
21494	122.232	Mid-band-Walk
21625	123.448	Mid-band-Walk
21755	175.436	Mid-band-Walk
21888	138.821	Mid-band-Walk
22012	115.586	Mid-band-Walk
22143	182.267	Mid-band-Walk
22282	198.375	Mid-band-Walk
22420	148.173	Mid-band-Walk
22562	121.352	Mid-band-Walk
22692	128.393	Mid-band-Walk
22811	131.615	Mid-band-Walk
22939	131.625	Mid-band-Walk
23079	121.325	Mid-band-Walk
23212	109.945	Mid-band-Walk
23346	133.08	Mid-band-Walk
23455	109.031	Mid-band-Walk
23580	101.012	Mid-band-Walk
23712	109.888	Mid-band-Walk
23854	109.592	Mid-band-Walk
23977	148.183	Mid-band-Walk
24123	191.107	Mid-band-Walk
24250	113.542	Mid-band-Walk
24392	99.858	Mid-band-Walk
24511	105.334	Mid-band-Walk
24624	98.646	Mid-band-Walk
24699	108.975	Mid-band-Walk
24834	98.608	Mid-band-Walk
24933	131.324	Mid-band-Walk
25072	160.589	Mid-band-Walk
25199	116.469	Mid-band-Walk
25345	114.985	Mid-band-Walk
25466	150.784	Mid-band-Walk
25610	147.403	Mid-band-Walk
25745	102.732	Mid-band-Walk
25872	129.355	Mid-band-Walk
25997	127.402	Mid-band-Walk
26131	161.503	Mid-band-Walk
26277	169.415	Mid-band-Walk
26402	162.87	Mid-band-Walk
26545	162.693	Mid-band-Walk
26675	180.08	Mid-band-Walk
26816	179.971	Mid-band-Walk
26953	168.06	Mid-band-Walk
27100	198.122	Mid-band-Walk
27238	178.997	Mid-band-Walk
27376	199.926	Mid-band-Walk
27503	212.752	Mid-band-Walk
27643	197.829	Mid-band-Walk
27788	170.661	Mid-band-Walk
27928	125.121	Mid-band-Walk
28053	105.979	Mid-band-Walk
28186	139.678	Mid-band-Walk
28308	115.831	Mid-band-Walk
28430	110.704	Mid-band-Walk
28562	159.002	Mid-band-Walk
28686	173.022	Mid-band-Walk
28832	205.882	Mid-band-Walk
28961	217.722	Mid-band-Walk
29097	191.784	Mid-band-Walk
29240	212.25	Mid-band-Walk
29378	186.415	Mid-band-Walk
29520	208.213	Mid-band-Walk
29642	157.475	Mid-band-Walk
29786	180.486	Mid-band-Walk
29925	193.5	Mid-band-Walk
30061	171.226	Mid-band-Walk
30198	185.786	Mid-band-Walk
30340	179.363	Mid-band-Walk
30458	210.202	Mid-band-Walk
30608	213.656	Mid-band-Walk
30735	178.019	Mid-band-Walk
30883	166.361	Mid-band-Walk
31027	131.814	Mid-band-Walk
31168	97.902	Mid-band-Walk
31289	165.002	Mid-band-Walk
31410	122.159	Mid-band-Walk
31538	139.428	Mid-band-Walk
31664	130.004	Mid-band-Walk
31804	99.965	Mid-band-Walk
31926	143.575	Mid-band-Walk
32061	127.251	Mid-band-Walk
32196	155.685	Mid-band-Walk
32336	150.577	Mid-band-Walk
32444	194.715	Mid-band-Walk
32577	161.368	Mid-band-Walk
32703	128.337	Mid-band-Walk
32841	156.119	Mid-band-Walk
32973	142.232	Mid-band-Walk
33095	164.5	Mid-band-Walk
33242	151.296	Mid-band-Walk
33377	174.023	Mid-band-Walk
33512	201.369	Mid-band-Walk
33650	158.065	Mid-band-Walk
33780	157.607	Mid-band-Walk
33914	142.809	Mid-band-Walk
34046	142.206	Mid-band-Walk
34191	153.171	Mid-band-Walk
34312	38.385	Mid-band-Walk
34334	0.051	Mid-band-Walk
34349	11.827	Mid-band-Walk
34474	84.486	Mid-band-Walk
34592	111.827	Mid-band-Walk
34723	90.67	Mid-band-Walk
34853	115.288	Mid-band-Walk
34983	121.681	Mid-band-Walk
35085	137.787	Mid-band-Walk
35220	200.833	Mid-band-Walk
35358	107.227	Mid-band-Walk
35494	109.555	Mid-band-Walk
35626	173.649	Mid-band-Walk
35775	170.079	Mid-band-Walk
35911	186.271	Mid-band-Walk
36038	157.85	Mid-band-Walk
36177	193.39	Mid-band-Walk
36316	187.437	Mid-band-Walk
36449	168.664	Mid-band-Walk
36592	187.387	Mid-band-Walk
36725	158.566	Mid-band-Walk
36857	148.1	Mid-band-Walk
37008	147.609	Mid-band-Walk
37127	178.166	Mid-band-Walk
37279	147.865	Mid-band-Walk
37403	159.719	Mid-band-Walk
37530	187.537	Mid-band-Walk
37661	193.989	Mid-band-Walk
37793	186.224	Mid-band-Walk
37960	137.978	Mid-band-Walk
38079	128.712	Mid-band-Walk
38209	122.992	Mid-band-Walk
38333	87.158	Mid-band-Walk
38480	110.484	Mid-band-Walk
38613	118.441	Mid-band-Walk
38733	87.872	Mid-band-Walk
38876	127.501	Mid-band-Walk
39008	139.172	Mid-band-Walk
39133	116.181	Mid-band-Walk
39273	88.529	Mid-band-Walk
39408	86.882	Mid-band-Walk
39554	108.34	Mid-band-Walk
39689	83.769	Mid-band-Walk
39811	133.311	Mid-band-Walk
39933	117.428	Mid-band-Walk
40084	94.271	Mid-band-Walk
40205	114.453	Mid-band-Walk
40332	163.383	Mid-band-Walk
40468	124.662	Mid-band-Walk
40609	149.763	Mid-band-Walk
40728	140.63	Mid-band-Walk
40870	152.268	Mid-band-Walk
40995	94.585	Mid-band-Walk
41142	122.045	Mid-band-Walk
41264	114.232	Mid-band-Walk
41422	138.293	Mid-band-Walk
41549	159.077	Mid-band-Walk
41697	134.115	Mid-band-Walk
41834	146.307	Mid-band-Walk
41944	137.126	Mid-band-Walk
42091	140.505	Mid-band-Walk
42225	112.373	Mid-band-Walk
42350	109.712	Mid-band-Walk
42498	164.18	Mid-band-Walk
42614	197.768	Mid-band-Walk
42760	178.299	Mid-band-Walk
42912	130.969	Mid-band-Walk
43039	134.616	Mid-band-Walk
43155	143.694	Mid-band-Walk
43319	137.221	Mid-band-Walk
43443	155.037	Mid-band-Walk
43594	137.694	Mid-band-Walk
43722	138.817	Mid-band-Walk
43858	132.265	Mid-band-Walk
43991	101.789	Mid-band-Walk
44117	65.308	Mid-band-Walk
44225	22.791	Mid-band-Walk
44334	87.64	Mid-band-Walk
44467	141.005	Mid-band-Walk
44579	146.41	Mid-band-Walk
44735	107.928	Mid-band-Walk
44866	146.42	Mid-band-Walk
44997	127.33	Mid-band-Walk
45156	118.636	Mid-band-Walk
45278	131.892	Mid-band-Walk
45426	141.842	Mid-band-Walk
45564	132.703	Mid-band-Walk
45690	174.379	Mid-band-Walk
45834	109.683	Mid-band-Walk
45963	88.561	Mid-band-Walk
46110	91.847	Mid-band-Walk
46247	76.592	Mid-band-Walk
46363	117.895	Mid-band-Walk
46494	73.339	Mid-band-Walk
46622	88.99	Mid-band-Walk
46728	93.494	Mid-band-Walk
46851	64.948	Mid-band-Walk
46999	75.617	Mid-band-Walk
47130	59.545	Mid-band-Walk
47229	91.969	Mid-band-Walk
47378	47.175	Mid-band-Walk
47495	33.029	Mid-band-Walk
47628	113.789	Mid-band-Walk
47768	99.32	Mid-band-Walk
47888	87.645	Mid-band-Walk
48011	98.828	Mid-band-Walk
48124	106.538	Mid-band-Walk
48265	102.357	Mid-band-Walk
48394	93.37	Mid-band-Walk
48516	90.86	Mid-band-Walk
48640	93.299	Mid-band-Walk
48796	96.213	Mid-band-Walk
48896	72.51	Mid-band-Walk
49023	81.104	Mid-band-Walk
49171	75.181	Mid-band-Walk
49309	78.388	Mid-band-Walk
49433	70.606	Mid-band-Walk
49568	65.535	Mid-band-Walk
