	Tput(Mbps)	config
3486	49.3	mmWave-Walk
3497	17.9	mmWave-Walk
3498	56.3	mmWave-Walk
3515	31.7	mmWave-Walk
3516	52.1	mmWave-Walk
3517	39.2	mmWave-Walk
3519	42.3	mmWave-Walk
3520	170.0	mmWave-Walk
9005	459.0	mmWave-Walk
9021	152.0	mmWave-Walk
9041	18.5	mmWave-Walk
9042	172.0	mmWave-Walk
9043	29.5	mmWave-Walk
9050	159.0	mmWave-Walk
9062	120.0	mmWave-Walk
9068	129.0	mmWave-Walk
9074	477.0	mmWave-Walk
14628	1260.0	mmWave-Walk
14629	135.0	mmWave-Walk
14630	8.42	mmWave-Walk
14631	146.0	mmWave-Walk
14632	12.6	mmWave-Walk
14639	140.0	mmWave-Walk
14657	107.0	mmWave-Walk
14665	115.0	mmWave-Walk
14666	413.0	mmWave-Walk
19221	1080.0	mmWave-Walk
19236	119.0	mmWave-Walk
19238	5.58	mmWave-Walk
19246	132.0	mmWave-Walk
19254	8.44	mmWave-Walk
19268	127.0	mmWave-Walk
19277	95.0	mmWave-Walk
19286	102.0	mmWave-Walk
19290	314.0	mmWave-Walk
24800	903.0	mmWave-Walk
24805	188.0	mmWave-Walk
24826	6.44	mmWave-Walk
24827	206.0	mmWave-Walk
24833	9.32	mmWave-Walk
24845	197.0	mmWave-Walk
24846	148.0	mmWave-Walk
24853	161.0	mmWave-Walk
24859	360.0	mmWave-Walk
30383	1280.0	mmWave-Walk
30388	188.0	mmWave-Walk
30401	5.43	mmWave-Walk
30402	199.0	mmWave-Walk
30416	7.65	mmWave-Walk
30428	197.0	mmWave-Walk
30429	156.0	mmWave-Walk
30430	165.0	mmWave-Walk
30439	276.0	mmWave-Walk
35984	1190.0	mmWave-Walk
36031	204.0	mmWave-Walk
36040	6.35	mmWave-Walk
36043	208.0	mmWave-Walk
36044	7.74	mmWave-Walk
36050	219.0	mmWave-Walk
36067	161.0	mmWave-Walk
36079	180.0	mmWave-Walk
36080	216.0	mmWave-Walk
41553	1200.0	mmWave-Walk
41559	228.0	mmWave-Walk
41585	14.8	mmWave-Walk
41586	237.0	mmWave-Walk
41593	13.4	mmWave-Walk
41594	240.0	mmWave-Walk
41595	206.0	mmWave-Walk
41614	222.0	mmWave-Walk
41615	213.0	mmWave-Walk
47156	1370.0	mmWave-Walk
47183	247.0	mmWave-Walk
47203	18.1	mmWave-Walk
47207	246.0	mmWave-Walk
47220	11.7	mmWave-Walk
47226	248.0	mmWave-Walk
47231	201.0	mmWave-Walk
47253	215.0	mmWave-Walk
47254	240.0	mmWave-Walk
52747	1430.0	mmWave-Walk
52757	224.0	mmWave-Walk
52760	21.7	mmWave-Walk
52773	238.0	mmWave-Walk
