time(ms)	Tput(Mbps)	config
25	83.5205623076923	Mid-band-Drive
36	85.13319874762584	Mid-band-Drive
49	101.30891302464381	Mid-band-Drive
64	109.7321064236111	Mid-band-Drive
81	120.57943203941119	Mid-band-Drive
100	133.67178269230766	Mid-band-Drive
121	137.1804519874065	Mid-band-Drive
144	140.56144352445392	Mid-band-Drive
169	142.11650417582416	Mid-band-Drive
196	153.21817475694735	Mid-band-Drive
225	159.6276744211345	Mid-band-Drive
256	132.61422469618054	Mid-band-Drive
289	100.07861063052671	Mid-band-Drive
324	81.74748596272555	Mid-band-Drive
361	158.50446107678104	Mid-band-Drive
400	145.48307090447148	Mid-band-Drive
441	124.19298837981857	Mid-band-Drive
484	143.86396828009828	Mid-band-Drive
529	118.73548171299794	Mid-band-Drive
576	130.8381680970839	Mid-band-Drive
625	221.3585109714286	Mid-band-Drive
676	140.6095742336919	Mid-band-Drive
729	149.99943217205623	Mid-band-Drive
784	187.99602543962249	Mid-band-Drive
