time(ms)	Tput(Mbps)	config
25	27.059636535525545	Mid-band-Walk
36	28.002626554001555	Mid-band-Walk
49	29.775496801008735	Mid-band-Walk
64	32.28257444415266	Mid-band-Walk
81	35.711519737844846	Mid-band-Walk
100	37.37104127960928	Mid-band-Walk
121	45.01256251121454	Mid-band-Walk
144	39.481899685780164	Mid-band-Walk
169	44.07283410196775	Mid-band-Walk
196	37.33923788855256	Mid-band-Walk
225	47.342929780197615	Mid-band-Walk
256	39.87905298312884	Mid-band-Walk
289	47.47206959620681	Mid-band-Walk
324	41.04849056038971	Mid-band-Walk
361	41.30210533892085	Mid-band-Walk
400	49.50026239551381	Mid-band-Walk
441	35.002106784983546	Mid-band-Walk
484	42.36412890263042	Mid-band-Walk
529	44.0752596019988	Mid-band-Walk
576	43.681391120038484	Mid-band-Walk
625	31.015443806773156	Mid-band-Walk
676	36.71788344698233	Mid-band-Walk
729	63.11465066300869	Mid-band-Walk
784	24.36416619218564	Mid-band-Walk
