time(ms)	Tput(Mbps)	config
25	243.08540713286718	mmWave-Drive
36	291.85323676400753	mmWave-Drive
49	313.39599030285194	mmWave-Drive
64	299.04238203125	mmWave-Drive
81	333.41084271130103	mmWave-Drive
100	243.0249108391609	mmWave-Drive
121	372.60529189049595	mmWave-Drive
144	391.3188492402659	mmWave-Drive
169	423.7327314716275	mmWave-Drive
196	297.4884945485043	mmWave-Drive
225	292.3801829486746	mmWave-Drive
256	312.13598828125	mmWave-Drive
289	349.2081414880978	mmWave-Drive
324	264.40212915479583	mmWave-Drive
361	474.88485968775717	mmWave-Drive
400	326.48879655737704	mmWave-Drive
441	202.71338504432077	mmWave-Drive
484	251.33816406943083	mmWave-Drive
529	455.0162796335281	mmWave-Drive
576	466.8251847630719	mmWave-Drive
625	461.0008616666667	mmWave-Drive
676	322.0210586769746	mmWave-Drive
729	310.3270997624319	mmWave-Drive
784	301.9821559489038	mmWave-Drive
