time(ms)	Tput(Mbps)	config
25	60.73600419356498	mmWave-Walk
36	53.591852304699664	mmWave-Walk
49	64.5344250519155	mmWave-Walk
64	62.4352199066092	mmWave-Walk
81	82.86411915190553	mmWave-Walk
100	70.08351614663536	mmWave-Walk
121	91.17228849744197	mmWave-Walk
144	100.13326142692954	mmWave-Walk
169	96.39144332795412	mmWave-Walk
196	106.66810148112829	mmWave-Walk
225	108.97258219937405	mmWave-Walk
256	126.58035189774523	mmWave-Walk
289	144.71569755958544	mmWave-Walk
324	136.03125506369582	mmWave-Walk
361	152.4933402457819	mmWave-Walk
400	143.7680566672509	mmWave-Walk
441	185.78565627471545	mmWave-Walk
484	189.53359846851026	mmWave-Walk
529	146.23446282666382	mmWave-Walk
576	132.87861889876328	mmWave-Walk
625	221.11257020450887	mmWave-Walk
676	275.31791764070357	mmWave-Walk
729	268.1999613681716	mmWave-Walk
784	202.53046249534836	mmWave-Walk
